"Date","GEO","VALUE","val_norm","SCALAR_FACTOR","UOM","Census_type","Family_type","Statistics"
2013-07-01,"Quebec",3832170,3832170,"units","Number","All family units","Family types with or without children","Number of families"
2013-07-01,"Quebec",7904880,7904880,"units","Number","All family units","Family types with or without children","Number of persons"
2013-07-01,"Quebec",1563570,1563570,"units","Number","All family units","Family types with or without children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",4997280,4997280,"units","Number","All family units","Family types with or without children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",1344030,1344030,"units","Number","All family units","Family types with or without children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",48080,48080,"units","Dollars","All family units","Family types with or without children","Median before-tax family income"
2013-07-01,"Quebec",42910,42910,"units","Dollars","All family units","Family types with or without children","Median after-tax family income"
2013-07-01,"Quebec",2591600,2591600,"units","Number","All family units","Family types without children","Number of families"
2013-07-01,"Quebec",3578400,3578400,"units","Number","All family units","Family types without children","Number of persons"
2013-07-01,"Quebec",19620,19620,"units","Number","All family units","Family types without children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",2336930,2336930,"units","Number","All family units","Family types without children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",1221850,1221850,"units","Number","All family units","Family types without children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",37300,37300,"units","Dollars","All family units","Family types without children","Median before-tax family income"
2013-07-01,"Quebec",33800,33800,"units","Dollars","All family units","Family types without children","Median after-tax family income"
2013-07-01,"Quebec",583470,583470,"units","Number","All family units","Family types with 1 child","Number of families"
2013-07-01,"Quebec",1550820,1550820,"units","Number","All family units","Family types with 1 child","Number of persons"
2013-07-01,"Quebec",319670,319670,"units","Number","All family units","Family types with 1 child","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",1123990,1123990,"units","Number","All family units","Family types with 1 child","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",107160,107160,"units","Number","All family units","Family types with 1 child","Number of persons aged 65 years and over"
2013-07-01,"Quebec",71020,71020,"units","Dollars","All family units","Family types with 1 child","Median before-tax family income"
2013-07-01,"Quebec",61900,61900,"units","Dollars","All family units","Family types with 1 child","Median after-tax family income"
2013-07-01,"Quebec",464360,464360,"units","Number","All family units","Family types with 2 children","Number of families"
2013-07-01,"Quebec",1774670,1774670,"units","Number","All family units","Family types with 2 children","Number of persons"
2013-07-01,"Quebec",703260,703260,"units","Number","All family units","Family types with 2 children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",1058180,1058180,"units","Number","All family units","Family types with 2 children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",13230,13230,"units","Number","All family units","Family types with 2 children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",92250,92250,"units","Dollars","All family units","Family types with 2 children","Median before-tax family income"
2013-07-01,"Quebec",78950,78950,"units","Dollars","All family units","Family types with 2 children","Median after-tax family income"
2013-07-01,"Quebec",192740,192740,"units","Number","All family units","Family types with 3 or more children","Number of families"
2013-07-01,"Quebec",1000990,1000990,"units","Number","All family units","Family types with 3 or more children","Number of persons"
2013-07-01,"Quebec",521030,521030,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",478170,478170,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",1800,1800,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",86060,86060,"units","Dollars","All family units","Family types with 3 or more children","Median before-tax family income"
2013-07-01,"Quebec",76090,76090,"units","Dollars","All family units","Family types with 3 or more children","Median after-tax family income"
2013-07-01,"Quebec",2227360,2227360,"units","Number","All census families","Family types with or without children","Number of families"
2013-07-01,"Quebec",6300070,6300070,"units","Number","All census families","Family types with or without children","Number of persons"
2013-07-01,"Quebec",1546730,1546730,"units","Number","All census families","Family types with or without children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",3940380,3940380,"units","Number","All census families","Family types with or without children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",812960,812960,"units","Number","All census families","Family types with or without children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",72240,72240,"units","Dollars","All census families","Family types with or without children","Median before-tax family income"
2013-07-01,"Quebec",62610,62610,"units","Dollars","All census families","Family types with or without children","Median after-tax family income"
2013-07-01,"Quebec",986790,986790,"units","Number","All census families","Family types without children","Number of families"
2013-07-01,"Quebec",1973590,1973590,"units","Number","All census families","Family types without children","Number of persons"
2013-07-01,"Quebec",2780,2780,"units","Number","All census families","Family types without children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",1280030,1280030,"units","Number","All census families","Family types without children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",690780,690780,"units","Number","All census families","Family types without children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",63290,63290,"units","Dollars","All census families","Family types without children","Median before-tax family income"
2013-07-01,"Quebec",55130,55130,"units","Dollars","All census families","Family types without children","Median after-tax family income"
2013-07-01,"Quebec",583470,583470,"units","Number","All census families","Family types with 1 child","Number of families"
2013-07-01,"Quebec",1550820,1550820,"units","Number","All census families","Family types with 1 child","Number of persons"
2013-07-01,"Quebec",319670,319670,"units","Number","All census families","Family types with 1 child","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",1123990,1123990,"units","Number","All census families","Family types with 1 child","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",107160,107160,"units","Number","All census families","Family types with 1 child","Number of persons aged 65 years and over"
2013-07-01,"Quebec",71020,71020,"units","Dollars","All census families","Family types with 1 child","Median before-tax family income"
2013-07-01,"Quebec",61900,61900,"units","Dollars","All census families","Family types with 1 child","Median after-tax family income"
2013-07-01,"Quebec",464360,464360,"units","Number","All census families","Family types with 2 children","Number of families"
2013-07-01,"Quebec",1774670,1774670,"units","Number","All census families","Family types with 2 children","Number of persons"
2013-07-01,"Quebec",703260,703260,"units","Number","All census families","Family types with 2 children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",1058180,1058180,"units","Number","All census families","Family types with 2 children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",13230,13230,"units","Number","All census families","Family types with 2 children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",92250,92250,"units","Dollars","All census families","Family types with 2 children","Median before-tax family income"
2013-07-01,"Quebec",78950,78950,"units","Dollars","All census families","Family types with 2 children","Median after-tax family income"
2013-07-01,"Quebec",192740,192740,"units","Number","All census families","Family types with 3 or more children","Number of families"
2013-07-01,"Quebec",1000990,1000990,"units","Number","All census families","Family types with 3 or more children","Number of persons"
2013-07-01,"Quebec",521030,521030,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",478170,478170,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",1800,1800,"units","Number","All census families","Family types with 3 or more children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",86060,86060,"units","Dollars","All census families","Family types with 3 or more children","Median before-tax family income"
2013-07-01,"Quebec",76090,76090,"units","Dollars","All census families","Family types with 3 or more children","Median after-tax family income"
2013-07-01,"Quebec",1916540,1916540,"units","Number","Couple families","Family types with or without children","Number of families"
2013-07-01,"Quebec",5529060,5529060,"units","Number","Couple families","Family types with or without children","Number of persons"
2013-07-01,"Quebec",1233020,1233020,"units","Number","Couple families","Family types with or without children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",3524430,3524430,"units","Number","Couple families","Family types with or without children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",771610,771610,"units","Number","Couple families","Family types with or without children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",78230,78230,"units","Dollars","Couple families","Family types with or without children","Median before-tax family income"
2013-07-01,"Quebec",67140,67140,"units","Dollars","Couple families","Family types with or without children","Median after-tax family income"
2013-07-01,"Quebec",986790,986790,"units","Number","Couple families","Family types without children","Number of families"
2013-07-01,"Quebec",1973590,1973590,"units","Number","Couple families","Family types without children","Number of persons"
2013-07-01,"Quebec",2780,2780,"units","Number","Couple families","Family types without children","Number of persons aged 0 to 17 years"
2013-07-01,"Quebec",1280030,1280030,"units","Number","Couple families","Family types without children","Number of persons aged 18 to 64 years"
2013-07-01,"Quebec",690780,690780,"units","Number","Couple families","Family types without children","Number of persons aged 65 years and over"
2013-07-01,"Quebec",63290,63290,"units","Dollars","Couple families","Family types without children","Median before-tax family income"
2013-07-01,"Quebec",55130,55130,"units","Dollars","Couple families","Family types without children","Median after-tax family income"
2013-07-01,"Quebec",383890,383890,"units","Number","Couple families","Family types with 1 child","Number of families"
2013-07-01,"Quebec",1151670,1151670,"units","Number","Couple families","Family types with 1 child","Number of persons"
