"GEO","Date","Inc_allcpl","Inc_cpl_nk","Inc_cpl_1k","Inc_cpl_kids"
"Alberta",2013-01-01,87710,73900,96560,101382
"Alberta",2013-02-01,88175,74093,97239,102117
"Alberta",2013-03-01,88618,74285,97878,102813
"Alberta",2013-04-01,89040,74477,98478,103470
"Alberta",2013-05-01,89441,74666,99039,104090
"Alberta",2013-06-01,89820,74854,99563,104673
"Alberta",2013-07-01,90180,75040,100050,105220
"Alberta",2013-08-01,90519,75223,100502,105732
"Alberta",2013-09-01,90839,75403,100918,106209
"Alberta",2013-10-01,91139,75580,101301,106653
"Alberta",2013-11-01,91420,75753,101650,107065
"Alberta",2013-12-01,91682,75922,101968,107444
"Alberta",2014-01-01,91925,76087,102254,107792
"Alberta",2014-02-01,92150,76247,102509,108110
"Alberta",2014-03-01,92357,76401,102735,108398
"Alberta",2014-04-01,92546,76550,102932,108657
"Alberta",2014-05-01,92718,76693,103102,108888
"Alberta",2014-06-01,92872,76830,103244,109092
"Alberta",2014-07-01,93010,76960,103360,109270
"Alberta",2014-08-01,93131,77083,103450,109422
"Alberta",2014-09-01,93233,77196,103514,109545
"Alberta",2014-10-01,93314,77298,103548,109637
"Alberta",2014-11-01,93372,77386,103552,109697
"Alberta",2014-12-01,93405,77458,103522,109719
"Alberta",2015-01-01,93410,77511,103458,109704
"Alberta",2015-02-01,93386,77544,103358,109647
"Alberta",2015-03-01,93329,77554,103219,109546
"Alberta",2015-04-01,93239,77539,103039,109398
"Alberta",2015-05-01,93112,77497,102817,109202
"Alberta",2015-06-01,92946,77424,102552,108953
"Alberta",2015-07-01,92740,77320,102240,108650
"Alberta",2015-08-01,92493,77183,101883,108293
"Alberta",2015-09-01,92213,77019,101489,107893
"Alberta",2015-10-01,91911,76835,101072,107465
"Alberta",2015-11-01,91597,76639,100643,107024
"Alberta",2015-12-01,91281,76437,100213,106583
"Alberta",2016-01-01,90974,76237,99795,106158
"Alberta",2016-02-01,90686,76046,99400,105763
"Alberta",2016-03-01,90427,75872,99042,105412
"Alberta",2016-04-01,90207,75721,98730,105119
"Alberta",2016-05-01,90038,75600,98478,104900
"Alberta",2016-06-01,89929,75517,98297,104769
"Alberta",2016-07-01,89890,75480,98200,104740
"Alberta",2016-08-01,89929,75493,98194,104823
"Alberta",2016-09-01,90039,75551,98272,105008
"Alberta",2016-10-01,90211,75650,98425,105282
"Alberta",2016-11-01,90436,75782,98640,105631
"Alberta",2016-12-01,90703,75942,98909,106039
"Alberta",2017-01-01,91004,76123,99219,106494
"Alberta",2017-02-01,91329,76319,99561,106981
"Alberta",2017-03-01,91668,76524,99923,107485
"Alberta",2017-04-01,92012,76732,100296,107994
"Alberta",2017-05-01,92352,76937,100669,108492
"Alberta",2017-06-01,92678,77131,101030,108965
"Alberta",2017-07-01,92980,77310,101370,109400
"Alberta",2017-08-01,93251,77468,101680,109785
"Alberta",2017-09-01,93493,77606,101961,110123
"Alberta",2017-10-01,93708,77727,102216,110419
"Alberta",2017-11-01,93901,77833,102449,110679
"Alberta",2017-12-01,94073,77925,102662,110908
"Alberta",2018-01-01,94229,78008,102860,111110
"Alberta",2018-02-01,94371,78082,103044,111293
"Alberta",2018-03-01,94504,78150,103219,111460
"Alberta",2018-04-01,94630,78214,103388,111618
"Alberta",2018-05-01,94752,78278,103554,111772
"Alberta",2018-06-01,94875,78342,103720,111928
"Alberta",2018-07-01,95000,78410,103890,112090
"Alberta",2018-08-01,95131,78483,104066,112264
"Alberta",2018-09-01,95270,78563,104249,112451
"Alberta",2018-10-01,95417,78649,104440,112653
"Alberta",2018-11-01,95572,78743,104639,112872
"Alberta",2018-12-01,95736,78845,104846,113110
"Alberta",2019-01-01,95911,78956,105063,113367
"Alberta",2019-02-01,96096,79076,105289,113645
"Alberta",2019-03-01,96293,79207,105525,113945
"Alberta",2019-04-01,96502,79348,105772,114270
"Alberta",2019-05-01,96724,79500,106030,114621
"Alberta",2019-06-01,96960,79664,106299,114999
"Alberta",2019-07-01,97210,79840,106580,115405
"Alberta",2019-08-01,97475,80029,106874,115842
"Alberta",2019-09-01,97757,80233,107180,116310
"Alberta",2019-10-01,98055,80450,107500,116811
"Alberta",2019-11-01,98370,80682,107834,117347
"Alberta",2019-12-01,98704,80930,108182,117920
"Alberta",2020-01-01,99056,81194,108544,118530
"Alberta",2020-02-01,99428,81475,108922,119179
"Alberta",2020-03-01,99820,81773,109316,119869
"Alberta",2020-04-01,100233,82089,109726,120601
"Alberta",2020-05-01,100668,82423,110153,121376
"Alberta",2020-06-01,101125,82777,110597,122197
"Alberta",2020-07-01,101605,83151,111058,123065
"Alberta",2020-08-01,102110,83545,111538,123981
"Alberta",2020-09-01,102639,83960,112036,124946
"Alberta",2020-10-01,103193,84396,112554,125963
"Alberta",2020-11-01,103774,84855,113090,127032
