"Date","GEO","Inc_allcpl","Inc_cpl_nk","Inc_cpl_1k","Inc_cpl_kids"
2013-07-01,"Alberta",90180,75040,100050,105220
2013-07-01,"British Columbia",71820,61270,79500,87505
2013-07-01,"Calgary",92370,77420,99600,107675
2013-07-01,"Edmonton",90870,75880,100350,106940
2013-07-01,"Sudbury",82210,67030,93340,106110
2013-07-01,"Guelph",82420,68530,88080,99690
2013-07-01,"Hamilton",78740,64150,87040,95980
2013-07-01,"Kelowna",73980,63450,86230,93400
2013-07-01,"Kitchener",77800,63710,85050,92775
2013-07-01,"London",73800,62980,81190,88225
2013-07-01,"Montreal",68550,56910,75210,83510
2013-07-01,"Ontario",73840,60410,81440,89910
2013-07-01,"Oshawa",82670,66850,89630,98575
2013-07-01,"Ottawa",92980,78980,101560,109935
2013-07-01,"Quebec",67140,55130,75820,85035
2013-07-01,"Niagara",68290,57900,77450,85605
2013-07-01,"Toronto",71040,54970,76850,85420
2013-07-01,"Vancouver",70640,59030,75300,86095
2013-07-01,"Victoria",79950,70720,89770,96135
2013-07-01,"Windsor",72740,60170,80660,88760
2014-07-01,"Alberta",93010,76960,103360,109270
2014-07-01,"British Columbia",74040,62620,82420,91555
2014-07-01,"Calgary",95110,79190,102730,111210
2014-07-01,"Edmonton",93320,77470,103100,110385
2014-07-01,"Sudbury",83890,68070,95360,108850
2014-07-01,"Guelph",84860,69970,91370,103405
2014-07-01,"Hamilton",81230,65750,89610,100150
2014-07-01,"Kelowna",76290,65290,89240,97580
2014-07-01,"Kitchener",79850,65170,86780,95910
2014-07-01,"London",75620,64280,83560,91390
2014-07-01,"Montreal",70080,58050,77190,85545
2014-07-01,"Ontario",75880,61700,83890,93420
2014-07-01,"Oshawa",84870,68050,91660,102270
2014-07-01,"Ottawa",94070,79680,102720,111760
2014-07-01,"Quebec",68570,56220,77810,87265
2014-07-01,"Niagara",70210,59270,79990,89080
2014-07-01,"Toronto",73190,56060,79360,89095
2014-07-01,"Vancouver",72970,60190,78190,90295
2014-07-01,"Victoria",81510,71780,92230,99090
2014-07-01,"Windsor",75050,61960,83370,93130
2015-07-01,"Alberta",92740,77320,102240,108650
2015-07-01,"British Columbia",76340,64180,85010,95520
2015-07-01,"Calgary",95170,79510,102100,111175
2015-07-01,"Edmonton",93730,78410,102970,110340
2015-07-01,"Sudbury",86160,69880,98420,113385
2015-07-01,"Guelph",86890,71970,92820,106385
2015-07-01,"Hamilton",83390,67470,91630,103510
2015-07-01,"Kelowna",78020,66600,91500,100815
2015-07-01,"Kitchener",81890,66650,89000,99685
2015-07-01,"London",77860,65990,85870,94505
2015-07-01,"Montreal",71570,59220,79080,88045
2015-07-01,"Ontario",78070,63430,86190,96880
2015-07-01,"Oshawa",86740,69520,93560,105565
2015-07-01,"Ottawa",95880,81240,104010,114735
2015-07-01,"Quebec",69840,57310,79570,89665
2015-07-01,"Niagara",72170,61010,82120,92295
2015-07-01,"Toronto",75670,57810,81860,92820
2015-07-01,"Vancouver",75920,61990,81340,95350
2015-07-01,"Victoria",84070,73770,95140,103445
2015-07-01,"Windsor",76990,63660,85490,97565
2016-07-01,"Alberta",89890,75480,98200,104740
2016-07-01,"British Columbia",77610,64800,86590,97775
2016-07-01,"Calgary",91880,77160,98010,106720
2016-07-01,"Edmonton",91680,77470,99450,106925
2016-07-01,"Sudbury",85550,70010,97210,111115
2016-07-01,"Guelph",88500,72980,93930,109690
2016-07-01,"Hamilton",84820,68150,93760,105865
2016-07-01,"Kelowna",78900,67600,91320,102755
2016-07-01,"Kitchener",83510,68030,90980,101585
2016-07-01,"London",78740,66680,87300,95615
2016-07-01,"Montreal",73550,60300,81410,91055
2016-07-01,"Ontario",79430,64270,87830,99135
2016-07-01,"Oshawa",87990,70260,95090,107460
2016-07-01,"Ottawa",96890,81960,105310,116440
2016-07-01,"Quebec",71750,58460,81810,92670
2016-07-01,"Niagara",73210,61710,83760,94450
2016-07-01,"Toronto",77220,58570,83690,95600
2016-07-01,"Vancouver",77940,62910,83860,98755
2016-07-01,"Victoria",85220,74610,96060,105900
2016-07-01,"Windsor",78760,64720,88300,99680
2017-07-01,"Alberta",92980,77310,101370,109400
2017-07-01,"British Columbia",80810,66680,90900,103180
2017-07-01,"Calgary",94090,78110,100200,110465
2017-07-01,"Edmonton",94190,79160,102070,110230
2017-07-01,"Sudbury",89560,72170,101860,117445
2017-07-01,"Guelph",91090,74560,97960,113380
2017-07-01,"Hamilton",87440,69780,97000,110085
2017-07-01,"Kelowna",82390,69770,95910,108505
2017-07-01,"Kitchener",86010,69580,94000,104345
2017-07-01,"London",80800,67900,89490,98655
2017-07-01,"Montreal",77050,62410,85390,95930
2017-07-01,"Ontario",82120,65810,91330,103175
2017-07-01,"Oshawa",90040,71820,97370,109220
2017-07-01,"Ottawa",100730,84180,110620,122440
2017-07-01,"Quebec",75210,60710,85760,97760
2017-07-01,"Niagara",75450,63460,86060,97310
2017-07-01,"Toronto",80030,59810,87590,99750
2017-07-01,"Vancouver",81300,64680,88170,104130
2017-07-01,"Victoria",88910,76470,101080,111480
2017-07-01,"Windsor",81210,66280,90560,103015
2018-07-01,"Alberta",95000,78410,103890,112090
2018-07-01,"British Columbia",82990,68070,93860,106615
2018-07-01,"Calgary",96010,79000,102290,113365
2018-07-01,"Edmonton",95950,80100,104300,112300
2018-07-01,"Sudbury",92990,74770,106220,124030
2018-07-01,"Guelph",93530,76170,101370,117595
2018-07-01,"Hamilton",90440,71940,100810,114370
2018-07-01,"Kelowna",83900,71210,97760,111705
2018-07-01,"Kitchener",88400,70950,97660,108140
2018-07-01,"London",83270,69610,93240,101725
2018-07-01,"Montreal",79830,64340,89050,99820
2018-07-01,"Ontario",84830,67540,95100,107465
2018-07-01,"Oshawa",93150,73210,101460,113185
2018-07-01,"Ottawa",103490,86160,113660,126140
2018-07-01,"Quebec",77970,62630,89480,101745
2018-07-01,"Niagara",78040,65360,89640,101375
2018-07-01,"Toronto",82770,61350,91350,104355
2018-07-01,"Vancouver",83490,65970,91500,107765
2018-07-01,"Victoria",91400,78780,103970,115115
2018-07-01,"Windsor",82950,67590,94410,106505
2019-07-01,"Alberta",97210,79840,106580,115405
2019-07-01,"British Columbia",85260,69740,96940,110430
2019-07-01,"Calgary",98430,80360,105740,116855
2019-07-01,"Edmonton",98150,81580,106890,115740
2019-07-01,"Sudbury",95190,76730,110220,126765
2019-07-01,"Guelph",95880,77630,104360,119850
2019-07-01,"Hamilton",92750,73360,103240,117250
2019-07-01,"Kelowna",86330,73100,100830,113975
2019-07-01,"Kitchener",90320,71730,100160,111150
2019-07-01,"London",84700,70800,95000,103865
2019-07-01,"Montreal",83100,66430,92700,104505
2019-07-01,"Ontario",87050,68920,98020,110715
2019-07-01,"Oshawa",95330,74680,104640,115815
2019-07-01,"Ottawa",106290,88150,117030,129645
2019-07-01,"Quebec",80980,64780,93170,106375
2019-07-01,"Niagara",79960,66810,91550,104090
2019-07-01,"Toronto",85060,62500,94530,108230
2019-07-01,"Vancouver",85970,67650,94870,112215
2019-07-01,"Victoria",94090,81060,107440,119625
