"GEO","Date","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
"Alberta",2013-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-07-01,0.042,0.167,0.127,0.12,0.099,0.2,0.445,0.245
"Alberta",2013-08-01,0.041,0.166,0.127,0.12,0.1,0.201,0.446,0.244
"Alberta",2013-09-01,0.04,0.166,0.126,0.119,0.101,0.203,0.447,0.244
"Alberta",2013-10-01,0.04,0.165,0.126,0.119,0.102,0.204,0.448,0.244
"Alberta",2013-11-01,0.039,0.165,0.126,0.118,0.103,0.206,0.449,0.243
"Alberta",2013-12-01,0.038,0.164,0.126,0.118,0.104,0.207,0.45,0.242
"Alberta",2014-01-01,0.038,0.164,0.126,0.117,0.105,0.209,0.45,0.242
"Alberta",2014-02-01,0.037,0.163,0.125,0.117,0.106,0.21,0.451,0.242
"Alberta",2014-03-01,0.036,0.162,0.125,0.117,0.107,0.211,0.452,0.241
"Alberta",2014-04-01,0.035,0.162,0.125,0.116,0.108,0.213,0.453,0.24
"Alberta",2014-05-01,0.034,0.161,0.124,0.116,0.109,0.214,0.454,0.24
"Alberta",2014-06-01,0.034,0.161,0.124,0.115,0.11,0.216,0.455,0.24
"Alberta",2014-07-01,0.033,0.16,0.124,0.115,0.111,0.217,0.456,0.239
"Alberta",2014-08-01,0.032,0.16,0.125,0.116,0.111,0.216,0.456,0.24
"Alberta",2014-09-01,0.031,0.16,0.126,0.116,0.11,0.215,0.456,0.241
"Alberta",2014-10-01,0.03,0.16,0.126,0.117,0.11,0.214,0.456,0.242
"Alberta",2014-11-01,0.03,0.161,0.127,0.117,0.109,0.213,0.456,0.243
"Alberta",2014-12-01,0.029,0.161,0.128,0.118,0.109,0.212,0.456,0.244
"Alberta",2015-01-01,0.028,0.161,0.128,0.118,0.108,0.211,0.456,0.246
"Alberta",2015-02-01,0.027,0.161,0.129,0.119,0.108,0.21,0.457,0.247
"Alberta",2015-03-01,0.026,0.161,0.13,0.12,0.107,0.209,0.457,0.248
