"Date","GEO","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
2013-07-01,"Alberta",0.042,0.167,0.127,0.12,0.099,0.2,0.445,0.245
2013-07-01,"British Columbia",0.055,0.254,0.152,0.123,0.108,0.159,0.309,0.15
2013-07-01,"Calgary",0.051,0.173,0.119,0.105,0.081,0.186,0.471,0.286
2013-07-01,"Edmonton",NA,0.151,0.101,0.126,0.105,0.215,0.457,0.242
2013-07-01,"Montreal",0.055,0.268,0.183,0.12,0.112,0.142,0.262,0.12
2013-07-01,"Ontario",0.036,0.236,0.175,0.122,0.102,0.164,0.33,0.166
2013-07-01,"Ottawa",0.045,0.22,0.147,0.085,0.093,0.197,0.41,0.214
2013-07-01,"Quebec",0.037,0.282,0.19,0.132,0.11,0.148,0.249,0.102
2013-07-01,"Toronto",0.038,0.235,0.176,0.114,0.092,0.155,0.345,0.19
2013-07-01,"Vancouver",0.076,0.239,0.135,0.113,0.111,0.139,0.327,0.188
2014-07-01,"Alberta",0.033,0.16,0.124,0.115,0.111,0.217,0.456,0.239
2014-07-01,"British Columbia",0.049,0.259,0.153,0.136,0.098,0.163,0.302,0.139
2014-07-01,"Calgary",NA,0.131,0.119,0.094,0.111,0.205,0.523,0.318
2014-07-01,"Edmonton",NA,NA,0.12,0.131,0.096,0.226,0.436,0.209
2014-07-01,"Montreal",0.035,0.258,0.186,0.126,0.101,0.175,0.294,0.119
2014-07-01,"Ontario",0.042,0.234,0.153,0.125,0.105,0.168,0.341,0.173
2014-07-01,"Ottawa",0.047,0.225,0.128,0.121,0.089,0.17,0.391,0.221
2014-07-01,"Quebec",0.031,0.286,0.186,0.131,0.109,0.159,0.257,0.098
2014-07-01,"Toronto",0.055,0.232,0.142,0.111,0.104,0.158,0.355,0.197
2014-07-01,"Vancouver",0.056,0.241,0.138,0.133,0.1,0.164,0.331,0.167
2015-07-01,"Alberta",0.023,0.162,0.133,0.122,0.105,0.205,0.457,0.252
2015-07-01,"British Columbia",0.06,0.283,0.133,0.107,0.099,0.161,0.32,0.16
2015-07-01,"Calgary",NA,0.162,0.126,0.127,0.112,0.187,0.446,0.259
2015-07-01,"Edmonton",NA,0.153,0.134,0.1,0.107,0.222,0.489,0.268
2015-07-01,"Montreal",0.046,0.276,0.168,0.133,0.114,0.177,0.264,0.088
2015-07-01,"Ontario",0.04,0.232,0.16,0.12,0.1,0.172,0.348,0.177
2015-07-01,"Ottawa",0.042,0.237,0.147,0.097,0.106,0.163,0.372,0.208
2015-07-01,"Quebec",0.035,0.293,0.173,0.133,0.114,0.162,0.252,0.09
2015-07-01,"Toronto",0.051,0.225,0.157,0.117,0.086,0.167,0.364,0.197
2015-07-01,"Vancouver",0.061,0.265,0.117,0.099,0.106,0.171,0.352,0.18
2016-07-01,"Alberta",0.025,0.188,0.123,0.122,0.099,0.229,0.443,0.214
2016-07-01,"British Columbia",0.056,0.26,0.151,0.116,0.106,0.163,0.309,0.146
2016-07-01,"Calgary",NA,0.199,0.105,0.151,0.122,0.215,0.404,0.19
2016-07-01,"Edmonton",0.035,0.145,0.102,0.104,0.073,0.29,0.542,0.252
2016-07-01,"Montreal",0.045,0.259,0.195,0.12,0.102,0.149,0.279,0.129
