"GEO","Date","Inc_med"
"Alberta",2013-01-01,59032
"Alberta",2013-02-01,59313
"Alberta",2013-03-01,59585
"Alberta",2013-04-01,59848
"Alberta",2013-05-01,60101
"Alberta",2013-06-01,60345
"Alberta",2013-07-01,60580
"Alberta",2013-08-01,60805
"Alberta",2013-09-01,61021
"Alberta",2013-10-01,61228
"Alberta",2013-11-01,61425
"Alberta",2013-12-01,61612
"Alberta",2014-01-01,61791
"Alberta",2014-02-01,61959
"Alberta",2014-03-01,62118
"Alberta",2014-04-01,62268
"Alberta",2014-05-01,62408
"Alberta",2014-06-01,62539
"Alberta",2014-07-01,62660
"Alberta",2014-08-01,62771
"Alberta",2014-09-01,62871
"Alberta",2014-10-01,62959
"Alberta",2014-11-01,63032
"Alberta",2014-12-01,63090
"Alberta",2015-01-01,63131
"Alberta",2015-02-01,63153
"Alberta",2015-03-01,63155
"Alberta",2015-04-01,63135
"Alberta",2015-05-01,63092
"Alberta",2015-06-01,63024
"Alberta",2015-07-01,62930
"Alberta",2015-08-01,62810
"Alberta",2015-09-01,62667
"Alberta",2015-10-01,62509
"Alberta",2015-11-01,62341
"Alberta",2015-12-01,62170
"Alberta",2016-01-01,62000
"Alberta",2016-02-01,61838
"Alberta",2016-03-01,61691
"Alberta",2016-04-01,61563
"Alberta",2016-05-01,61461
"Alberta",2016-06-01,61392
"Alberta",2016-07-01,61360
"Alberta",2016-08-01,61370
"Alberta",2016-09-01,61419
"Alberta",2016-10-01,61502
"Alberta",2016-11-01,61614
"Alberta",2016-12-01,61750
"Alberta",2017-01-01,61905
"Alberta",2017-02-01,62073
"Alberta",2017-03-01,62251
"Alberta",2017-04-01,62432
"Alberta",2017-05-01,62613
"Alberta",2017-06-01,62787
"Alberta",2017-07-01,62950
"Alberta",2017-08-01,63098
"Alberta",2017-09-01,63232
"Alberta",2017-10-01,63352
"Alberta",2017-11-01,63461
"Alberta",2017-12-01,63560
"Alberta",2018-01-01,63650
"Alberta",2018-02-01,63733
"Alberta",2018-03-01,63810
"Alberta",2018-04-01,63883
"Alberta",2018-05-01,63953
"Alberta",2018-06-01,64021
"Alberta",2018-07-01,64090
"Alberta",2018-08-01,64160
"Alberta",2018-09-01,64232
"Alberta",2018-10-01,64306
"Alberta",2018-11-01,64382
"Alberta",2018-12-01,64461
"Alberta",2019-01-01,64542
"Alberta",2019-02-01,64625
"Alberta",2019-03-01,64712
"Alberta",2019-04-01,64801
"Alberta",2019-05-01,64894
"Alberta",2019-06-01,64990
"Alberta",2019-07-01,65090
"Alberta",2019-08-01,65194
"Alberta",2019-09-01,65301
"Alberta",2019-10-01,65413
"Alberta",2019-11-01,65529
"Alberta",2019-12-01,65649
"Alberta",2020-01-01,65774
"Alberta",2020-02-01,65904
"Alberta",2020-03-01,66039
"Alberta",2020-04-01,66179
"Alberta",2020-05-01,66325
"Alberta",2020-06-01,66476
"Alberta",2020-07-01,66632
"Alberta",2020-08-01,66795
"Alberta",2020-09-01,66964
"Alberta",2020-10-01,67139
"Alberta",2020-11-01,67321
"Alberta",2020-12-01,67509
"Alberta",2021-01-01,67704
"Alberta",2021-02-01,67906
"Alberta",2021-03-01,68115
"Alberta",2021-04-01,68332
"Alberta",2021-05-01,68556
"Alberta",2021-06-01,68788
"Alberta",2021-07-01,69027
"Alberta",2021-08-01,69275
"Alberta",2021-09-01,69531
"Alberta",2021-10-01,69796
"Alberta",2021-11-01,70069
"Alberta",2021-12-01,70351
"British Columbia",2013-01-01,46593
"British Columbia",2013-02-01,46624
"British Columbia",2013-03-01,46664
"British Columbia",2013-04-01,46712
"British Columbia",2013-05-01,46767
"British Columbia",2013-06-01,46830
"British Columbia",2013-07-01,46900
"British Columbia",2013-08-01,46976
"British Columbia",2013-09-01,47059
"British Columbia",2013-10-01,47147
"British Columbia",2013-11-01,47240
"British Columbia",2013-12-01,47339
"British Columbia",2014-01-01,47442
"British Columbia",2014-02-01,47550
"British Columbia",2014-03-01,47662
"British Columbia",2014-04-01,47777
"British Columbia",2014-05-01,47895
"British Columbia",2014-06-01,48016
"British Columbia",2014-07-01,48140
"British Columbia",2014-08-01,48266
"British Columbia",2014-09-01,48392
"British Columbia",2014-10-01,48520
"British Columbia",2014-11-01,48646
"British Columbia",2014-12-01,48771
"British Columbia",2015-01-01,48894
"British Columbia",2015-02-01,49013
"British Columbia",2015-03-01,49129
"British Columbia",2015-04-01,49239
"British Columbia",2015-05-01,49343
"British Columbia",2015-06-01,49440
"British Columbia",2015-07-01,49530
"British Columbia",2015-08-01,49611
"British Columbia",2015-09-01,49686
"British Columbia",2015-10-01,49755
"British Columbia",2015-11-01,49821
"British Columbia",2015-12-01,49885
