"Date","GEO","Inc_med"
2013-07-01,"Quebec",42910
2013-07-01,"Montreal",42520
2013-07-01,"Ontario",49040
2013-07-01,"Ottawa",60190
2013-07-01,"Oshawa",57200
2013-07-01,"Toronto",46860
2013-07-01,"Hamilton",51460
2013-07-01,"Niagara",45170
2013-07-01,"Kitchener",52560
2013-07-01,"Guelph",55640
2013-07-01,"London",47940
2013-07-01,"Windsor",46860
2013-07-01,"Sudbury",52320
2013-07-01,"Alberta",60580
2013-07-01,"Calgary",61630
2013-07-01,"Edmonton",60120
2013-07-01,"British Columbia",46900
2013-07-01,"Kelowna",48860
2013-07-01,"Vancouver",45970
2013-07-01,"Victoria",50400
2014-07-01,"Quebec",43470
2014-07-01,"Montreal",43140
2014-07-01,"Ontario",50200
2014-07-01,"Ottawa",60810
2014-07-01,"Oshawa",58350
2014-07-01,"Toronto",48050
2014-07-01,"Hamilton",52880
2014-07-01,"Niagara",46300
2014-07-01,"Kitchener",53660
2014-07-01,"Guelph",57120
2014-07-01,"London",48930
2014-07-01,"Windsor",48150
2014-07-01,"Sudbury",52970
2014-07-01,"Alberta",62660
2014-07-01,"Calgary",63930
2014-07-01,"Edmonton",61890
2014-07-01,"British Columbia",48140
2014-07-01,"Kelowna",50190
2014-07-01,"Vancouver",47280
2014-07-01,"Victoria",51340
2015-07-01,"Quebec",44190
2015-07-01,"Montreal",43950
2015-07-01,"Ontario",51530
2015-07-01,"Ottawa",61700
2015-07-01,"Oshawa",59490
2015-07-01,"Toronto",49490
2015-07-01,"Hamilton",53840
2015-07-01,"Niagara",47600
2015-07-01,"Kitchener",54930
2015-07-01,"Guelph",58220
2015-07-01,"London",50050
2015-07-01,"Windsor",49380
2015-07-01,"Sudbury",54130
2015-07-01,"Alberta",62930
2015-07-01,"Calgary",65230
2015-07-01,"Edmonton",62300
2015-07-01,"British Columbia",49530
2015-07-01,"Kelowna",51370
2015-07-01,"Vancouver",49010
2015-07-01,"Victoria",52750
2016-07-01,"Quebec",45300
2016-07-01,"Montreal",45210
2016-07-01,"Ontario",52580
2016-07-01,"Ottawa",62740
2016-07-01,"Oshawa",60420
2016-07-01,"Toronto",50620
2016-07-01,"Hamilton",55170
2016-07-01,"Niagara",48480
2016-07-01,"Kitchener",56150
2016-07-01,"Guelph",59690
2016-07-01,"London",50990
2016-07-01,"Windsor",50510
2016-07-01,"Sudbury",54280
2016-07-01,"Alberta",61360
2016-07-01,"Calgary",63540
2016-07-01,"Edmonton",61330
2016-07-01,"British Columbia",50430
2016-07-01,"Kelowna",51900
2016-07-01,"Vancouver",50310
2016-07-01,"Victoria",53790
2017-07-01,"Quebec",46980
2017-07-01,"Montreal",46840
2017-07-01,"Ontario",53850
2017-07-01,"Ottawa",64670
2017-07-01,"Oshawa",60810
2017-07-01,"Toronto",51760
2017-07-01,"Hamilton",56540
2017-07-01,"Niagara",49610
2017-07-01,"Kitchener",57290
2017-07-01,"Guelph",60950
2017-07-01,"London",51940
2017-07-01,"Windsor",51630
2017-07-01,"Sudbury",55790
2017-07-01,"Alberta",62950
2017-07-01,"Calgary",63830
2017-07-01,"Edmonton",63030
2017-07-01,"British Columbia",52120
2017-07-01,"Kelowna",53740
2017-07-01,"Vancouver",52000
2017-07-01,"Victoria",55800
2018-07-01,"Quebec",48310
2018-07-01,"Montreal",48260
2018-07-01,"Ontario",55340
2018-07-01,"Ottawa",66060
2018-07-01,"Oshawa",62660
2018-07-01,"Toronto",53400
2018-07-01,"Hamilton",58120
2018-07-01,"Niagara",50840
2018-07-01,"Kitchener",58370
2018-07-01,"Guelph",62190
2018-07-01,"London",53230
2018-07-01,"Windsor",51720
2018-07-01,"Sudbury",57560
2018-07-01,"Alberta",64090
2018-07-01,"Calgary",65000
2018-07-01,"Edmonton",64020
2018-07-01,"British Columbia",53480
2018-07-01,"Kelowna",54710
2018-07-01,"Vancouver",53460
2018-07-01,"Victoria",57550
2019-07-01,"Quebec",49920
2019-07-01,"Montreal",49890
2019-07-01,"Ontario",56400
2019-07-01,"Ottawa",67310
2019-07-01,"Oshawa",63760
2019-07-01,"Toronto",54470
2019-07-01,"Hamilton",59270
2019-07-01,"Niagara",51730
2019-07-01,"Kitchener",58780
2019-07-01,"Guelph",62790
2019-07-01,"London",53780
2019-07-01,"Windsor",52710
2019-07-01,"Sudbury",58260
2019-07-01,"Alberta",65090
2019-07-01,"Calgary",66120
2019-07-01,"Edmonton",65000
2019-07-01,"British Columbia",54780
2019-07-01,"Kelowna",55910
2019-07-01,"Vancouver",54830
2019-07-01,"Victoria",59180
