"Date","InMort_total","InMort_var","InMort_fix0_1","InMort_fix1_3","InMort_fix3_5","InMort_fix5","UnMort_total","UnMort_var","UnMort_fix0_1","UnMort_fix1_3","UnMort_fix3_5","UnMort_fix5","Credit_rate"
2013-01-01,"5880000000","505000000","342000000","1058000000","1116000000","2859000000","9995000000","1103000000","268000000","1937000000","2111000000","4577000000","13228000000"
2013-02-01,"6195000000","539000000","330000000","1191000000","1227000000","2909000000","9858000000","1010000000","257000000","2032000000","1998000000","4562000000","13380000000"
2013-03-01,"7259000000","584000000","359000000","1307000000","1515000000","3493000000","11546000000","1142000000","282000000","2524000000","1965000000","5633000000","13597000000"
2013-04-01,"9716000000","714000000","440000000","1451000000","1592000000","5519000000","14714000000","1326000000","327000000","3029000000","2409000000","7623000000","16903000000"
2013-05-01,"10519000000","845000000","521000000","1582000000","1794000000","5778000000","16888000000","1537000000","387000000","3335000000","3023000000","8607000000","17221000000"
2013-06-01,"10869000000","885000000","522000000","1648000000","1999000000","5815000000","18129000000","1543000000","395000000","3494000000","3641000000","9056000000","16757000000"
2013-07-01,"10373000000","1264000000","535000000","1697000000","2389000000","4488000000","18806000000","2351000000","375000000","3812000000","4533000000","7736000000","17793000000"
2013-08-01,"9576000000","1518000000","532000000","1700000000","1777000000","4049000000","16973000000","2827000000","376000000","3723000000","3404000000","6643000000","16430000000"
2013-09-01,"8046000000","1582000000","585000000","1524000000","1280000000","3075000000","13941000000","3143000000","360000000","3369000000","2493000000","4576000000","15840000000"
2013-10-01,"7838000000","1861000000","502000000","1611000000","1176000000","2687000000","13632000000","4140000000","384000000","3164000000","2264000000","3680000000","15678000000"
2013-11-01,"6973000000","1902000000","452000000","1273000000","1141000000","2205000000","12470000000","4578000000","387000000","2569000000","2307000000","2629000000","14332000000"
2013-12-01,"6186000000","1619000000","430000000","1050000000","1150000000","1936000000","11538000000","4367000000","331000000","2293000000","2386000000","2161000000","14340000000"
2014-01-01,"5694000000","1527000000","363000000","1062000000","1052000000","1691000000","10697000000","3925000000","347000000","2263000000","2166000000","1996000000","13586000000"
2014-02-01,"6247000000","1625000000","339000000","1325000000","1030000000","1928000000","10104000000","3592000000","299000000","2516000000","1600000000","2097000000","13632000000"
2014-03-01,"7155000000","1662000000","438000000","1393000000","1337000000","2325000000","11393000000","3749000000","333000000","2841000000","1985000000","2484000000","14807000000"
2014-04-01,"8739000000","1650000000","555000000","1373000000","2301000000","2859000000","13615000000","3867000000","412000000","2795000000","3289000000","3252000000","16141000000"
2014-05-01,"9994000000","1758000000","662000000","1292000000","2759000000","3523000000","16302000000","4523000000","577000000","2986000000","4023000000","4194000000","17382000000"
2014-06-01,"10504000000","1934000000","752000000","1459000000","2745000000","3614000000","17901000000","5054000000","663000000","3104000000","4269000000","4811000000","18175000000"
2014-07-01,"10125000000","1842000000","698000000","1452000000","2419000000","3714000000","18528000000","4931000000","667000000","3546000000","4299000000","5086000000","18765000000"
