"Date","GEO","VALUE","val_norm","Components","Unit of measure"
2013-01-01,"Canada",5880,5.88e+09,"InMort_total","Dollars (in millions)"
2013-01-01,"Canada",3.23,0.0323,"InMort_total","Interest rate (percentage)"
2013-01-01,"Canada",505,5.05e+08,"InMort_var","Dollars (in millions)"
2013-01-01,"Canada",3.57,0.0357,"InMort_var","Interest rate (percentage)"
2013-01-01,"Canada",342,3.42e+08,"InMort_fix0_1","Dollars (in millions)"
2013-01-01,"Canada",5.14,0.0514,"InMort_fix0_1","Interest rate (percentage)"
2013-01-01,"Canada",1058,1.058e+09,"InMort_fix1_3","Dollars (in millions)"
2013-01-01,"Canada",2.81,0.0281,"InMort_fix1_3","Interest rate (percentage)"
2013-01-01,"Canada",1116,1.116e+09,"InMort_fix3_5","Dollars (in millions)"
2013-01-01,"Canada",3,0.03,"InMort_fix3_5","Interest rate (percentage)"
2013-01-01,"Canada",2859,2.859e+09,"InMort_fix5","Dollars (in millions)"
2013-01-01,"Canada",3.2,0.032,"InMort_fix5","Interest rate (percentage)"
2013-01-01,"Canada",9995,9.995e+09,"UnMort_total","Dollars (in millions)"
2013-01-01,"Canada",3.14,0.0314,"UnMort_total","Interest rate (percentage)"
2013-01-01,"Canada",1103,1.103e+09,"UnMort_var","Dollars (in millions)"
2013-01-01,"Canada",3.45,0.0345,"UnMort_var","Interest rate (percentage)"
2013-01-01,"Canada",268,2.68e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-01-01,"Canada",4.58,0.0458,"UnMort_fix0_1","Interest rate (percentage)"
2013-01-01,"Canada",1937,1.937e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-01-01,"Canada",2.85,0.0285,"UnMort_fix1_3","Interest rate (percentage)"
2013-01-01,"Canada",2111,2.111e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-01-01,"Canada",2.95,0.0295,"UnMort_fix3_5","Interest rate (percentage)"
2013-01-01,"Canada",4577,4.577e+09,"UnMort_fix5","Dollars (in millions)"
2013-01-01,"Canada",3.18,0.0318,"UnMort_fix5","Interest rate (percentage)"
2013-01-01,"Canada",13228,1.3228e+10,"Credit_rate","Dollars (in millions)"
2013-01-01,"Canada",5.75,0.0575,"Credit_rate","Interest rate (percentage)"
2013-02-01,"Canada",6195,6.195e+09,"InMort_total","Dollars (in millions)"
2013-02-01,"Canada",3.19,0.0319,"InMort_total","Interest rate (percentage)"
2013-02-01,"Canada",539,5.39e+08,"InMort_var","Dollars (in millions)"
2013-02-01,"Canada",3.52,0.0352,"InMort_var","Interest rate (percentage)"
