"Date","GEO","HPI"
2013-01-01,"Quebec",98.2
2013-01-01,"Montreal",97.3
2013-01-01,"Ontario",86.3
2013-01-01,"Ottawa",103.7
2013-01-01,"Oshawa",NA
2013-01-01,"Toronto",82.3
2013-01-01,"Hamilton",86.5
2013-01-01,"Niagara",85.9
2013-01-01,"Kitchener",91.1
2013-01-01,"Guelph",NA
2013-01-01,"London",91.1
2013-01-01,"Windsor",92.6
2013-01-01,"Sudbury",97.5
2013-01-01,"Alberta",95.6
2013-01-01,"Calgary",90.4
2013-01-01,"Edmonton",100.7
2013-01-01,"British Columbia",93.3
2013-01-01,"Kelowna",NA
2013-01-01,"Vancouver",93.1
2013-01-01,"Victoria",96.7
2013-02-01,"Quebec",98.3
2013-02-01,"Montreal",97.5
2013-02-01,"Ontario",86.1
2013-02-01,"Ottawa",103.4
2013-02-01,"Oshawa",NA
2013-02-01,"Toronto",82
2013-02-01,"Hamilton",86.5
2013-02-01,"Niagara",86.5
2013-02-01,"Kitchener",91.1
2013-02-01,"Guelph",NA
2013-02-01,"London",91.4
2013-02-01,"Windsor",92.6
2013-02-01,"Sudbury",97.5
2013-02-01,"Alberta",96.1
2013-02-01,"Calgary",91.5
2013-02-01,"Edmonton",100.7
2013-02-01,"British Columbia",93.4
2013-02-01,"Kelowna",NA
2013-02-01,"Vancouver",93.1
2013-02-01,"Victoria",96.7
2013-03-01,"Quebec",98.3
2013-03-01,"Montreal",97.5
2013-03-01,"Ontario",86.2
2013-03-01,"Ottawa",103.6
2013-03-01,"Oshawa",NA
2013-03-01,"Toronto",82.1
2013-03-01,"Hamilton",86.8
2013-03-01,"Niagara",86.5
2013-03-01,"Kitchener",91.1
2013-03-01,"Guelph",NA
2013-03-01,"London",91.4
2013-03-01,"Windsor",93.2
2013-03-01,"Sudbury",97.5
2013-03-01,"Alberta",96.4
2013-03-01,"Calgary",92
2013-03-01,"Edmonton",100.7
2013-03-01,"British Columbia",93.2
2013-03-01,"Kelowna",NA
2013-03-01,"Vancouver",92.9
2013-03-01,"Victoria",96.6
2013-04-01,"Quebec",98.2
2013-04-01,"Montreal",97.4
2013-04-01,"Ontario",86.3
2013-04-01,"Ottawa",103.6
2013-04-01,"Oshawa",NA
2013-04-01,"Toronto",82.2
2013-04-01,"Hamilton",87.9
2013-04-01,"Niagara",86.6
2013-04-01,"Kitchener",91.1
2013-04-01,"Guelph",NA
2013-04-01,"London",91.4
2013-04-01,"Windsor",93.2
2013-04-01,"Sudbury",97.5
2013-04-01,"Alberta",96.9
2013-04-01,"Calgary",92.8
2013-04-01,"Edmonton",100.9
2013-04-01,"British Columbia",93.3
2013-04-01,"Kelowna",NA
2013-04-01,"Vancouver",93
2013-04-01,"Victoria",96.7
2013-05-01,"Quebec",98.6
2013-05-01,"Montreal",97.8
2013-05-01,"Ontario",86.5
2013-05-01,"Ottawa",103.2
2013-05-01,"Oshawa",NA
2013-05-01,"Toronto",82.4
2013-05-01,"Hamilton",87.9
2013-05-01,"Niagara",87.2
2013-05-01,"Kitchener",91.2
2013-05-01,"Guelph",NA
2013-05-01,"London",91.4
2013-05-01,"Windsor",93.2
2013-05-01,"Sudbury",98
2013-05-01,"Alberta",97.2
2013-05-01,"Calgary",93.7
2013-05-01,"Edmonton",100.6
2013-05-01,"British Columbia",93
2013-05-01,"Kelowna",NA
2013-05-01,"Vancouver",92.7
2013-05-01,"Victoria",96.7
2013-06-01,"Quebec",98.7
2013-06-01,"Montreal",98
2013-06-01,"Ontario",86.5
2013-06-01,"Ottawa",103.1
2013-06-01,"Oshawa",NA
2013-06-01,"Toronto",82.4
2013-06-01,"Hamilton",87.6
2013-06-01,"Niagara",87.5
2013-06-01,"Kitchener",91.4
2013-06-01,"Guelph",NA
2013-06-01,"London",92
2013-06-01,"Windsor",93
2013-06-01,"Sudbury",98
2013-06-01,"Alberta",97.5
2013-06-01,"Calgary",94
2013-06-01,"Edmonton",101
2013-06-01,"British Columbia",92.7
2013-06-01,"Kelowna",NA
2013-06-01,"Vancouver",92.3
2013-06-01,"Victoria",96.6
2013-07-01,"Quebec",98.7
2013-07-01,"Montreal",97.9
2013-07-01,"Ontario",86.7
2013-07-01,"Ottawa",102.8
2013-07-01,"Oshawa",NA
2013-07-01,"Toronto",82.8
