"GEO","Date","Age0_17","Age18_64","Age65_over"
"Alberta",2013-01-01,911337,2442941,431564
"Alberta",2013-02-01,912480,2460502,433799
"Alberta",2013-03-01,913691,2476698,435950
"Alberta",2013-04-01,914967,2491578,438020
"Alberta",2013-05-01,916305,2505189,440014
"Alberta",2013-06-01,917700,2517580,441936
"Alberta",2013-07-01,919150,2528800,443790
"Alberta",2013-08-01,920650,2538897,445579
"Alberta",2013-09-01,922198,2547920,447308
"Alberta",2013-10-01,923789,2555916,448980
"Alberta",2013-11-01,925419,2562935,450600
"Alberta",2013-12-01,927086,2569024,452171
"Alberta",2014-01-01,928785,2574233,453697
"Alberta",2014-02-01,930514,2578609,455183
"Alberta",2014-03-01,932267,2582202,456632
"Alberta",2014-04-01,934042,2585058,458048
"Alberta",2014-05-01,935835,2587228,459436
"Alberta",2014-06-01,937642,2588759,460798
"Alberta",2014-07-01,939460,2589700,462140
"Alberta",2014-08-01,941285,2590100,463465
"Alberta",2014-09-01,943110,2590014,464777
"Alberta",2014-10-01,944929,2589497,466082
"Alberta",2014-11-01,946735,2588604,467383
"Alberta",2014-12-01,948521,2587391,468685
"Alberta",2015-01-01,950282,2585914,469992
"Alberta",2015-02-01,952010,2584228,471309
"Alberta",2015-03-01,953699,2582388,472641
"Alberta",2015-04-01,955342,2580449,473991
"Alberta",2015-05-01,956933,2578468,475365
"Alberta",2015-06-01,958464,2576500,476766
"Alberta",2015-07-01,959930,2574600,478200
"Alberta",2015-08-01,961326,2572818,479670
"Alberta",2015-09-01,962658,2571179,481178
"Alberta",2015-10-01,963934,2569705,482727
"Alberta",2015-11-01,965163,2568415,484319
"Alberta",2015-12-01,966353,2567330,485955
"Alberta",2016-01-01,967512,2566471,487637
"Alberta",2016-02-01,968649,2565856,489367
"Alberta",2016-03-01,969772,2565508,491148
"Alberta",2016-04-01,970889,2565446,492981
"Alberta",2016-05-01,972009,2565690,494867
"Alberta",2016-06-01,973140,2566262,496810
"Alberta",2016-07-01,974290,2567180,498810
"Alberta",2016-08-01,975466,2568455,500869
"Alberta",2016-09-01,976667,2570055,502980
"Alberta",2016-10-01,977890,2571937,505137
"Alberta",2016-11-01,979132,2574057,507333
"Alberta",2016-12-01,980391,2576374,509561
"Alberta",2017-01-01,981663,2578844,511813
"Alberta",2017-02-01,982945,2581424,514084
"Alberta",2017-03-01,984236,2584071,516365
"Alberta",2017-04-01,985531,2586744,518650
"Alberta",2017-05-01,986829,2589398,520933
"Alberta",2017-06-01,988126,2591991,523205
"Alberta",2017-07-01,989420,2594480,525460
"Alberta",2017-08-01,990708,2596833,527693
"Alberta",2017-09-01,991989,2599060,529903
"Alberta",2017-10-01,993264,2601181,532093
"Alberta",2017-11-01,994531,2603216,534264
"Alberta",2017-12-01,995791,2605187,536419
"Alberta",2018-01-01,997043,2607114,538558
"Alberta",2018-02-01,998287,2609017,540684
"Alberta",2018-03-01,999523,2610916,542799
"Alberta",2018-04-01,1000751,2612833,544904
"Alberta",2018-05-01,1001970,2614787,547002
"Alberta",2018-06-01,1003180,2616799,549093
"Alberta",2018-07-01,1004380,2618890,551180
"Alberta",2018-08-01,1005571,2621078,553264
"Alberta",2018-09-01,1006751,2623373,555346
"Alberta",2018-10-01,1007920,2625782,557426
"Alberta",2018-11-01,1009077,2628314,559503
"Alberta",2018-12-01,1010222,2630977,561577
"Alberta",2019-01-01,1011353,2633777,563650
"Alberta",2019-02-01,1012469,2636724,565720
"Alberta",2019-03-01,1013571,2639824,567788
"Alberta",2019-04-01,1014657,2643086,569854
"Alberta",2019-05-01,1015725,2646517,571918
"Alberta",2019-06-01,1016777,2650126,573980
"Alberta",2019-07-01,1017810,2653920,576040
"Alberta",2019-08-01,1018824,2657907,578098
"Alberta",2019-09-01,1019818,2662094,580154
"Alberta",2019-10-01,1020792,2666490,582208
"Alberta",2019-11-01,1021744,2671102,584260
"Alberta",2019-12-01,1022674,2675939,586310
"Alberta",2020-01-01,1023581,2681007,588359
"Alberta",2020-02-01,1024465,2686316,590406
"Alberta",2020-03-01,1025323,2691872,592451
"Alberta",2020-04-01,1026157,2697683,594494
"Alberta",2020-05-01,1026964,2703758,596536
"Alberta",2020-06-01,1027744,2710103,598577
"Alberta",2020-07-01,1028497,2716728,600615
"Alberta",2020-08-01,1029221,2723639,602653
"Alberta",2020-09-01,1029916,2730845,604689
"Alberta",2020-10-01,1030581,2738354,606723
"Alberta",2020-11-01,1031215,2746172,608756
"Alberta",2020-12-01,1031817,2754308,610788
"Alberta",2021-01-01,1032387,2762771,612818
"Alberta",2021-02-01,1032924,2771567,614848
"Alberta",2021-03-01,1033426,2780704,616876
"Alberta",2021-04-01,1033894,2790191,618902
"Alberta",2021-05-01,1034327,2800034,620928
"Alberta",2021-06-01,1034723,2810243,622953
"Alberta",2021-07-01,1035081,2820824,624976
"Alberta",2021-08-01,1035402,2831786,626999
"Alberta",2021-09-01,1035684,2843136,629021
"Alberta",2021-10-01,1035927,2854883,631041
"Alberta",2021-11-01,1036129,2867033,633061
"Alberta",2021-12-01,1036291,2879595,635080
"British Columbia",2013-01-01,833343,2788162,729338
"British Columbia",2013-02-01,832016,2790851,732148
"British Columbia",2013-03-01,830867,2793506,734954
"British Columbia",2013-04-01,829888,2796127,737755
"British Columbia",2013-05-01,829074,2798717,740552
"British Columbia",2013-06-01,828417,2801278,743344
"British Columbia",2013-07-01,827910,2803810,746130
"British Columbia",2013-08-01,827547,2806315,748911
"British Columbia",2013-09-01,827321,2808796,751686
"British Columbia",2013-10-01,827225,2811252,754455
"British Columbia",2013-11-01,827253,2813686,757218
"British Columbia",2013-12-01,827397,2816100,759975
"British Columbia",2014-01-01,827651,2818494,762725
"British Columbia",2014-02-01,828008,2820870,765468
"British Columbia",2014-03-01,828461,2823231,768204
"British Columbia",2014-04-01,829004,2825576,770932
"British Columbia",2014-05-01,829629,2827909,773653
"British Columbia",2014-06-01,830330,2830229,776365
"British Columbia",2014-07-01,831100,2832540,779070
"British Columbia",2014-08-01,831932,2834842,781766
