"GEO","Date","cpl_nokid","cpl_child","cpl_kids"
"Alberta",2013-01-01,431812,186990,305083
"Alberta",2013-02-01,435821,187872,306442
"Alberta",2013-03-01,439531,188710,307729
"Alberta",2013-04-01,442952,189503,308946
"Alberta",2013-05-01,446094,190253,310095
"Alberta",2013-06-01,448966,190962,311179
"Alberta",2013-07-01,451580,191630,312200
"Alberta",2013-08-01,453944,192259,313161
"Alberta",2013-09-01,456070,192850,314066
"Alberta",2013-10-01,457966,193405,314915
"Alberta",2013-11-01,459643,193924,315713
"Alberta",2013-12-01,461110,194409,316462
"Alberta",2014-01-01,462378,194861,317163
"Alberta",2014-02-01,463457,195281,317821
"Alberta",2014-03-01,464357,195671,318437
"Alberta",2014-04-01,465087,196031,319015
"Alberta",2014-05-01,465657,196364,319556
"Alberta",2014-06-01,466078,196670,320063
"Alberta",2014-07-01,466360,196950,320540
"Alberta",2014-08-01,466512,197206,320989
"Alberta",2014-09-01,466547,197440,321414
"Alberta",2014-10-01,466476,197652,321820
"Alberta",2014-11-01,466310,197846,322212
"Alberta",2014-12-01,466063,198023,322594
"Alberta",2015-01-01,465746,198184,322972
"Alberta",2015-02-01,465370,198332,323350
"Alberta",2015-03-01,464947,198468,323732
"Alberta",2015-04-01,464490,198594,324123
"Alberta",2015-05-01,464010,198712,324529
"Alberta",2015-06-01,463520,198823,324953
"Alberta",2015-07-01,463030,198930,325400
"Alberta",2015-08-01,462552,199033,325874
"Alberta",2015-09-01,462088,199133,326370
"Alberta",2015-10-01,461643,199228,326883
"Alberta",2015-11-01,461217,199317,327407
"Alberta",2015-12-01,460813,199399,327936
"Alberta",2016-01-01,460434,199474,328466
"Alberta",2016-02-01,460082,199540,328989
"Alberta",2016-03-01,459760,199597,329501
"Alberta",2016-04-01,459469,199643,329996
"Alberta",2016-05-01,459212,199678,330467
"Alberta",2016-06-01,458992,199701,330911
"Alberta",2016-07-01,458810,199710,331320
"Alberta",2016-08-01,458669,199706,331692
"Alberta",2016-09-01,458565,199690,332030
"Alberta",2016-10-01,458495,199666,332344
"Alberta",2016-11-01,458456,199638,332639
"Alberta",2016-12-01,458444,199607,332923
"Alberta",2017-01-01,458456,199577,333204
"Alberta",2017-02-01,458488,199551,333488
"Alberta",2017-03-01,458537,199532,333782
"Alberta",2017-04-01,458599,199524,334094
"Alberta",2017-05-01,458671,199529,334432
"Alberta",2017-06-01,458749,199550,334801
"Alberta",2017-07-01,458830,199590,335210
"Alberta",2017-08-01,458911,199652,335663
"Alberta",2017-09-01,458994,199734,336158
"Alberta",2017-10-01,459082,199833,336688
"Alberta",2017-11-01,459178,199948,337249
"Alberta",2017-12-01,459283,200076,337836
"Alberta",2018-01-01,459402,200214,338441
"Alberta",2018-02-01,459537,200360,339062
"Alberta",2018-03-01,459689,200512,339691
"Alberta",2018-04-01,459863,200667,340324
"Alberta",2018-05-01,460061,200824,340955
"Alberta",2018-06-01,460286,200979,341579
"Alberta",2018-07-01,460540,201130,342190
"Alberta",2018-08-01,460826,201275,342784
"Alberta",2018-09-01,461146,201413,343357
"Alberta",2018-10-01,461500,201542,343907
"Alberta",2018-11-01,461892,201662,344430
"Alberta",2018-12-01,462321,201769,344924
"Alberta",2019-01-01,462790,201865,345386
"Alberta",2019-02-01,463300,201946,345812
"Alberta",2019-03-01,463853,202012,346201
"Alberta",2019-04-01,464450,202062,346549
"Alberta",2019-05-01,465092,202094,346853
"Alberta",2019-06-01,465782,202107,347111
"Alberta",2019-07-01,466520,202100,347320
"Alberta",2019-08-01,467308,202071,347476
"Alberta",2019-09-01,468148,202019,347578
"Alberta",2019-10-01,469041,201943,347621
"Alberta",2019-11-01,469988,201842,347604
"Alberta",2019-12-01,470991,201713,347523
"Alberta",2020-01-01,472052,201557,347376
"Alberta",2020-02-01,473172,201371,347159
"Alberta",2020-03-01,474352,201155,346870
"Alberta",2020-04-01,475595,200907,346506
"Alberta",2020-05-01,476900,200625,346064
"Alberta",2020-06-01,478271,200309,345542
"Alberta",2020-07-01,479709,199957,344936
"Alberta",2020-08-01,481214,199568,344243
"Alberta",2020-09-01,482789,199141,343461
"Alberta",2020-10-01,484434,198674,342586
"Alberta",2020-11-01,486153,198166,341617
"Alberta",2020-12-01,487945,197616,340550
"Alberta",2021-01-01,489812,197022,339382
"Alberta",2021-02-01,491757,196383,338110
"Alberta",2021-03-01,493780,195698,336732
"Alberta",2021-04-01,495883,194966,335244
"Alberta",2021-05-01,498067,194185,333644
"Alberta",2021-06-01,500334,193354,331930
"Alberta",2021-07-01,502686,192472,330097
"Alberta",2021-08-01,505123,191537,328143
"Alberta",2021-09-01,507648,190548,326066
"Alberta",2021-10-01,510262,189504,323862
"Alberta",2021-11-01,512966,188404,321529
"Alberta",2021-12-01,515762,187246,319064
"British Columbia",2013-01-01,564871,227559,303387
"British Columbia",2013-02-01,566408,227701,303916
"British Columbia",2013-03-01,567918,227855,304410
"British Columbia",2013-04-01,569401,228021,304873
"British Columbia",2013-05-01,570859,228197,305304
"British Columbia",2013-06-01,572292,228384,305706
"British Columbia",2013-07-01,573700,228580,306080
"British Columbia",2013-08-01,575085,228785,306428
"British Columbia",2013-09-01,576447,228998,306750
"British Columbia",2013-10-01,577787,229218,307049
"British Columbia",2013-11-01,579106,229446,307327
"British Columbia",2013-12-01,580404,229679,307583
"British Columbia",2014-01-01,581683,229917,307821
"British Columbia",2014-02-01,582943,230160,308041
"British Columbia",2014-03-01,584184,230407,308245
"British Columbia",2014-04-01,585407,230657,308434
"British Columbia",2014-05-01,586614,230910,308611
"British Columbia",2014-06-01,587805,231164,308775
"British Columbia",2014-07-01,588980,231420,308930
"British Columbia",2014-08-01,590141,231676,309076
"British Columbia",2014-09-01,591287,231933,309217
"British Columbia",2014-10-01,592421,232189,309357
"British Columbia",2014-11-01,593542,232445,309498
"British Columbia",2014-12-01,594652,232702,309645
"British Columbia",2015-01-01,595750,232957,309801
"British Columbia",2015-02-01,596838,233212,309969
"British Columbia",2015-03-01,597917,233466,310153
"British Columbia",2015-04-01,598987,233719,310357
"British Columbia",2015-05-01,600048,233971,310584
"British Columbia",2015-06-01,601102,234221,310837
"British Columbia",2015-07-01,602150,234470,311120
"British Columbia",2015-08-01,603192,234717,311435
"British Columbia",2015-09-01,604228,234959,311777
"British Columbia",2015-10-01,605260,235193,312139
"British Columbia",2015-11-01,606289,235418,312515
"British Columbia",2015-12-01,607315,235630,312898
"British Columbia",2016-01-01,608339,235827,313281
"British Columbia",2016-02-01,609362,236005,313657
"British Columbia",2016-03-01,610384,236163,314021
"British Columbia",2016-04-01,611408,236297,314364
"British Columbia",2016-05-01,612433,236405,314682
"British Columbia",2016-06-01,613460,236483,314966
"British Columbia",2016-07-01,614490,236530,315210
"British Columbia",2016-08-01,615524,236544,315410
"British Columbia",2016-09-01,616562,236530,315572
"British Columbia",2016-10-01,617603,236496,315702
"British Columbia",2016-11-01,618649,236448,315808
"British Columbia",2016-12-01,619698,236393,315898
"British Columbia",2017-01-01,620750,236339,315979
"British Columbia",2017-02-01,621806,236292,316060
"British Columbia",2017-03-01,622866,236259,316147
"British Columbia",2017-04-01,623930,236248,316247
"British Columbia",2017-05-01,624996,236264,316370
"British Columbia",2017-06-01,626066,236316,316522
"British Columbia",2017-07-01,627140,236410,316710
"British Columbia",2017-08-01,628217,236551,316941
"British Columbia",2017-09-01,629302,236736,317210
"British Columbia",2017-10-01,630396,236962,317515
"British Columbia",2017-11-01,631504,237221,317848
"British Columbia",2017-12-01,632630,237512,318205
"British Columbia",2018-01-01,633776,237827,318582
"British Columbia",2018-02-01,634946,238163,318972
"British Columbia",2018-03-01,636144,238516,319372
"British Columbia",2018-04-01,637372,238879,319776
"British Columbia",2018-05-01,638636,239249,320178
"British Columbia",2018-06-01,639937,239621,320575
"British Columbia",2018-07-01,641280,239990,320960
"British Columbia",2018-08-01,642668,240352,321330
"British Columbia",2018-09-01,644103,240703,321681
"British Columbia",2018-10-01,645589,241042,322010
"British Columbia",2018-11-01,647128,241367,322317
"British Columbia",2018-12-01,648723,241674,322596
"British Columbia",2019-01-01,650377,241961,322848
"British Columbia",2019-02-01,652093,242227,323067
"British Columbia",2019-03-01,653872,242468,323254
"British Columbia",2019-04-01,655719,242682,323403
"British Columbia",2019-05-01,657636,242867,323514
"British Columbia",2019-06-01,659625,243020,323584
"British Columbia",2019-07-01,661690,243140,323610
"British Columbia",2019-08-01,663833,243223,323589
"British Columbia",2019-09-01,666057,243268,323520
"British Columbia",2019-10-01,668364,243271,323399
"British Columbia",2019-11-01,670758,243231,323225
"British Columbia",2019-12-01,673241,243145,322994
"British Columbia",2020-01-01,675816,243010,322703
"British Columbia",2020-02-01,678486,242825,322352
"British Columbia",2020-03-01,681253,242587,321936
"British Columbia",2020-04-01,684121,242294,321454
"British Columbia",2020-05-01,687091,241942,320903
"British Columbia",2020-06-01,690168,241531,320281
"British Columbia",2020-07-01,693353,241056,319584
"British Columbia",2020-08-01,696649,240517,318811
"British Columbia",2020-09-01,700059,239910,317959
"British Columbia",2020-10-01,703587,239233,317025
"British Columbia",2020-11-01,707234,238485,316007
"British Columbia",2020-12-01,711003,237661,314902
"British Columbia",2021-01-01,714897,236761,313709
"British Columbia",2021-02-01,718920,235781,312423
"British Columbia",2021-03-01,723073,234720,311044
"British Columbia",2021-04-01,727360,233574,309567
"British Columbia",2021-05-01,731783,232342,307992
"British Columbia",2021-06-01,736344,231021,306314
"British Columbia",2021-07-01,741048,229608,304533
"British Columbia",2021-08-01,745896,228102,302645
"British Columbia",2021-09-01,750892,226500,300647
"British Columbia",2021-10-01,756037,224799,298538
"British Columbia",2021-11-01,761335,222998,296314
"British Columbia",2021-12-01,766789,221093,293973
"Calgary",2013-01-01,143373,67450,106493
"Calgary",2013-02-01,144569,67694,106936
"Calgary",2013-03-01,145682,67934,107363
"Calgary",2013-04-01,146717,68169,107775
"Calgary",2013-05-01,147675,68401,108171
"Calgary",2013-06-01,148558,68628,108553
"Calgary",2013-07-01,149370,68850,108920
"Calgary",2013-08-01,150113,69068,109274
"Calgary",2013-09-01,150790,69281,109615
"Calgary",2013-10-01,151402,69490,109943
"Calgary",2013-11-01,151954,69694,110259
"Calgary",2013-12-01,152447,69894,110564
"Calgary",2014-01-01,152885,70088,110858
"Calgary",2014-02-01,153268,70278,111141
"Calgary",2014-03-01,153602,70462,111415
"Calgary",2014-04-01,153887,70642,111679
"Calgary",2014-05-01,154127,70817,111934
"Calgary",2014-06-01,154323,70986,112181
"Calgary",2014-07-01,154480,71150,112420
"Calgary",2014-08-01,154599,71309,112652
"Calgary",2014-09-01,154683,71463,112878
"Calgary",2014-10-01,154734,71612,113099
"Calgary",2014-11-01,154756,71756,113315
"Calgary",2014-12-01,154751,71897,113530
"Calgary",2015-01-01,154722,72034,113742
"Calgary",2015-02-01,154670,72167,113955
"Calgary",2015-03-01,154600,72297,114168
"Calgary",2015-04-01,154513,72424,114383
"Calgary",2015-05-01,154412,72548,114601
"Calgary",2015-06-01,154300,72670,114823
"Calgary",2015-07-01,154180,72790,115050
"Calgary",2015-08-01,154054,72908,115283
"Calgary",2015-09-01,153924,73022,115521
"Calgary",2015-10-01,153793,73132,115762
"Calgary",2015-11-01,153664,73236,116003
"Calgary",2015-12-01,153539,73331,116242
"Calgary",2016-01-01,153420,73417,116479
"Calgary",2016-02-01,153310,73492,116710
"Calgary",2016-03-01,153212,73555,116934
"Calgary",2016-04-01,153127,73604,117149
"Calgary",2016-05-01,153059,73637,117353
"Calgary",2016-06-01,153009,73653,117544
"Calgary",2016-07-01,152980,73650,117720
"Calgary",2016-08-01,152974,73628,117880
"Calgary",2016-09-01,152989,73590,118026
"Calgary",2016-10-01,153024,73540,118161
"Calgary",2016-11-01,153074,73481,118288
"Calgary",2016-12-01,153139,73418,118410
"Calgary",2017-01-01,153216,73355,118530
"Calgary",2017-02-01,153302,73295,118651
"Calgary",2017-03-01,153395,73243,118776
"Calgary",2017-04-01,153492,73203,118907
"Calgary",2017-05-01,153592,73178,119048
"Calgary",2017-06-01,153692,73172,119201
"Calgary",2017-07-01,153790,73190,119370
"Calgary",2017-08-01,153883,73234,119557
"Calgary",2017-09-01,153974,73303,119760
"Calgary",2017-10-01,154064,73393,119978
"Calgary",2017-11-01,154154,73502,120210
"Calgary",2017-12-01,154248,73627,120453
"Calgary",2018-01-01,154346,73765,120706
"Calgary",2018-02-01,154451,73913,120967
"Calgary",2018-03-01,154564,74069,121234
"Calgary",2018-04-01,154687,74230,121506
"Calgary",2018-05-01,154823,74392,121780
"Calgary",2018-06-01,154974,74553,122055
"Calgary",2018-07-01,155140,74710,122330
"Calgary",2018-08-01,155324,74860,122602
"Calgary",2018-09-01,155528,75003,122871
"Calgary",2018-10-01,155751,75135,123136
