"Date","GEO","cpl_nokid","cpl_child","cpl_kids"
2013-07-01,"Alberta",451580,191630,312200
2013-07-01,"British Columbia",573700,228580,306080
2013-07-01,"Calgary",149370,68850,108920
2013-07-01,"Edmonton",142380,61410,95160
2013-07-01,"Sudbury",19540,8260,10590
2013-07-01,"Guelph",16230,7660,11870
2013-07-01,"Hamilton",77610,36710,56040
2013-07-01,"Kelowna",27280,8150,11450
2013-07-01,"Kitchener",52310,25340,39150
2013-07-01,"London",53540,23010,34940
2013-07-01,"Montreal",428260,188720,278270
2013-07-01,"Ontario",1443800,694220,1018010
2013-07-01,"Oshawa",36250,19510,30510
2013-07-01,"Ottawa",101050,47360,71180
2013-07-01,"Quebec",986790,383890,545850
2013-07-01,"Niagara",49740,18750,26110
2013-07-01,"Toronto",561520,333910,484530
2013-07-01,"Vancouver",275540,134360,175140
2013-07-01,"Victoria",48310,16430,19200
2013-07-01,"Windsor",34580,15910,25030
2014-07-01,"Alberta",466360,196950,320540
2014-07-01,"British Columbia",588980,231420,308930
2014-07-01,"Calgary",154480,71150,112420
2014-07-01,"Edmonton",148320,63600,98810
2014-07-01,"Sudbury",19750,8010,10540
2014-07-01,"Guelph",16540,7650,12050
2014-07-01,"Hamilton",78890,36830,56330
2014-07-01,"Kelowna",28610,8220,11730
2014-07-01,"Kitchener",53370,25460,39460
2014-07-01,"London",54200,23150,34910
2014-07-01,"Montreal",433020,189600,281280
2014-07-01,"Ontario",1472780,695760,1023700
2014-07-01,"Oshawa",36950,19680,30940
2014-07-01,"Ottawa",103170,47360,72200
2014-07-01,"Quebec",998980,382570,548710
2014-07-01,"Niagara",50660,18900,26030
2014-07-01,"Toronto",575980,335210,489370
2014-07-01,"Vancouver",282460,136340,176950
2014-07-01,"Victoria",49620,16530,19580
2014-07-01,"Windsor",35150,15830,25060
2015-07-01,"Alberta",463030,198930,325400
2015-07-01,"British Columbia",602150,234470,311120
2015-07-01,"Calgary",154180,72790,115050
2015-07-01,"Edmonton",149180,64930,102000
2015-07-01,"Sudbury",19740,7990,10370
2015-07-01,"Guelph",16990,7730,12130
2015-07-01,"Hamilton",79660,36610,55940
2015-07-01,"Kelowna",29510,8570,11900
2015-07-01,"Kitchener",54510,25610,39680
2015-07-01,"London",55150,22980,35130
2015-07-01,"Montreal",436790,188370,282470
2015-07-01,"Ontario",1496710,695330,1026860
2015-07-01,"Oshawa",37660,19780,31360
2015-07-01,"Ottawa",104960,47130,73310
2015-07-01,"Quebec",1011870,377760,546500
2015-07-01,"Niagara",52070,18910,25900
2015-07-01,"Toronto",585460,336400,493110
2015-07-01,"Vancouver",288710,138070,178300
2015-07-01,"Victoria",50740,16750,19760
2015-07-01,"Windsor",35950,15620,25240
2016-07-01,"Alberta",458810,199710,331320
2016-07-01,"British Columbia",614490,236530,315210
2016-07-01,"Calgary",152980,73650,117720
2016-07-01,"Edmonton",147670,65610,104530
2016-07-01,"Sudbury",20500,8180,10610
2016-07-01,"Guelph",17440,7850,12500
2016-07-01,"Hamilton",80420,36870,57300
