"GEO","Date","num_fam","num_cpl","num_lone","num_single"
"Alberta",2013-01-01,1072013,923885,148124,599421
"Alberta",2013-02-01,1077714,930134,147577,605010
"Alberta",2013-03-01,1083065,935966,147096,610097
"Alberta",2013-04-01,1088076,941395,146679,614700
"Alberta",2013-05-01,1092760,946434,146324,618840
"Alberta",2013-06-01,1097127,951098,146029,622537
"Alberta",2013-07-01,1101190,955400,145790,625810
"Alberta",2013-08-01,1104960,959354,145606,628679
"Alberta",2013-09-01,1108447,962974,145474,631164
"Alberta",2013-10-01,1111665,966274,145392,633284
"Alberta",2013-11-01,1114623,969267,145357,635060
"Alberta",2013-12-01,1117334,971968,145367,636510
"Alberta",2014-01-01,1119809,974390,145420,637655
"Alberta",2014-02-01,1122059,976547,145513,638515
"Alberta",2014-03-01,1124096,978453,145644,639108
"Alberta",2014-04-01,1125931,980121,145811,639456
"Alberta",2014-05-01,1127576,981566,146011,639577
"Alberta",2014-06-01,1129042,982801,146241,639492
"Alberta",2014-07-01,1130340,983840,146500,639220
"Alberta",2014-08-01,1131482,984698,146784,638781
"Alberta",2014-09-01,1132480,985392,147088,638197
"Alberta",2014-10-01,1133346,985941,147404,637490
"Alberta",2014-11-01,1134090,986362,147727,636682
"Alberta",2014-12-01,1134726,986675,148049,635794
"Alberta",2015-01-01,1135264,986898,148365,634849
"Alberta",2015-02-01,1135716,987048,148666,633869
"Alberta",2015-03-01,1136094,987144,148948,632876
"Alberta",2015-04-01,1136410,987206,149203,631891
"Alberta",2015-05-01,1136675,987250,149424,630938
"Alberta",2015-06-01,1136901,987295,149605,630036
"Alberta",2015-07-01,1137100,987360,149740,629210
"Alberta",2015-08-01,1137283,987459,149825,628478
"Alberta",2015-09-01,1137462,987592,149872,627854
"Alberta",2015-10-01,1137645,987754,149894,627348
"Alberta",2015-11-01,1137844,987941,149906,626971
"Alberta",2015-12-01,1138069,988150,149924,626734
"Alberta",2016-01-01,1138329,988375,149960,626647
"Alberta",2016-02-01,1138637,988613,150031,626721
"Alberta",2016-03-01,1139001,988858,150150,626968
"Alberta",2016-04-01,1139432,989108,150332,627397
"Alberta",2016-05-01,1139940,989358,150591,628020
"Alberta",2016-06-01,1140536,989603,150942,628847
"Alberta",2016-07-01,1141230,989840,151400,629890
"Alberta",2016-08-01,1142029,990066,151973,631152
"Alberta",2016-09-01,1142924,990285,152648,632609
"Alberta",2016-10-01,1143903,990505,153407,634233
"Alberta",2016-11-01,1144955,990733,154231,635993
"Alberta",2016-12-01,1146068,990974,155101,637858
"Alberta",2017-01-01,1147229,991237,155998,639800
"Alberta",2017-02-01,1148427,991527,156905,641788
