"GEO","Date","pop_nk","pop_1kid","pop_kids"
"Alberta",2013-01-01,431812,272722,367460
"Alberta",2013-02-01,435821,273541,368338
"Alberta",2013-03-01,439531,274327,369195
"Alberta",2013-04-01,442952,275083,370034
"Alberta",2013-05-01,446094,275808,370853
"Alberta",2013-06-01,448966,276503,371655
"Alberta",2013-07-01,451580,277170,372440
"Alberta",2013-08-01,453944,277809,373208
"Alberta",2013-09-01,456070,278420,373961
"Alberta",2013-10-01,457966,279005,374698
"Alberta",2013-11-01,459643,279564,375421
"Alberta",2013-12-01,461110,280099,376130
"Alberta",2014-01-01,462378,280609,376826
"Alberta",2014-02-01,463457,281096,377510
"Alberta",2014-03-01,464357,281561,378182
"Alberta",2014-04-01,465087,282003,378844
"Alberta",2014-05-01,465657,282425,379495
"Alberta",2014-06-01,466078,282827,380137
"Alberta",2014-07-01,466360,283210,380770
"Alberta",2014-08-01,466512,283574,381395
"Alberta",2014-09-01,466547,283919,382012
"Alberta",2014-10-01,466476,284246,382620
"Alberta",2014-11-01,466310,284553,383221
"Alberta",2014-12-01,466063,284841,383814
"Alberta",2015-01-01,465746,285110,384399
"Alberta",2015-02-01,465370,285360,384977
"Alberta",2015-03-01,464947,285590,385547
"Alberta",2015-04-01,464490,285800,386109
"Alberta",2015-05-01,464010,285990,386663
"Alberta",2015-06-01,463520,286160,387210
"Alberta",2015-07-01,463030,286310,387750
"Alberta",2015-08-01,462552,286440,388283
"Alberta",2015-09-01,462088,286555,388811
"Alberta",2015-10-01,461643,286658,389339
"Alberta",2015-11-01,461217,286754,389869
"Alberta",2015-12-01,460813,286849,390405
"Alberta",2016-01-01,460434,286946,390950
"Alberta",2016-02-01,460082,287050,391507
"Alberta",2016-03-01,459760,287166,392079
"Alberta",2016-04-01,459469,287298,392671
"Alberta",2016-05-01,459212,287452,393284
"Alberta",2016-06-01,458992,287631,393923
"Alberta",2016-07-01,458810,287840,394590
"Alberta",2016-08-01,458669,288082,395288
"Alberta",2016-09-01,458565,288355,396014
"Alberta",2016-10-01,458495,288654,396764
"Alberta",2016-11-01,458456,288974,397534
"Alberta",2016-12-01,458444,289311,398321
"Alberta",2017-01-01,458456,289661,399119
"Alberta",2017-02-01,458488,290018,399926
"Alberta",2017-03-01,458537,290379,400738
"Alberta",2017-04-01,458599,290739,401550
"Alberta",2017-05-01,458671,291094,402359
"Alberta",2017-06-01,458749,291439,403160
"Alberta",2017-07-01,458830,291770,403950
"Alberta",2017-08-01,458911,292083,404726
"Alberta",2017-09-01,458994,292379,405487
"Alberta",2017-10-01,459082,292659,406235
"Alberta",2017-11-01,459178,292924,406971
"Alberta",2017-12-01,459283,293177,407696
"Alberta",2018-01-01,459402,293419,408410
"Alberta",2018-02-01,459537,293651,409115
"Alberta",2018-03-01,459689,293875,409811
"Alberta",2018-04-01,459863,294093,410500
"Alberta",2018-05-01,460061,294305,411182
"Alberta",2018-06-01,460286,294514,411858
"Alberta",2018-07-01,460540,294720,412530
"Alberta",2018-08-01,460826,294926,413198
"Alberta",2018-09-01,461146,295131,413862
"Alberta",2018-10-01,461500,295337,414522
"Alberta",2018-11-01,461892,295542,415179
"Alberta",2018-12-01,462321,295749,415831
"Alberta",2019-01-01,462790,295956,416480
"Alberta",2019-02-01,463300,296165,417125
"Alberta",2019-03-01,463853,296376,417766
"Alberta",2019-04-01,464450,296588,418403
"Alberta",2019-05-01,465092,296803,419036
