"Date","GEO","Compl_total","Compl_single","Compl_semi","Compl_row","Starts_total","Starts_single","Starts_semi","Starts_row","UC_total","UC_single","UC_semi","UC_row"
2013-01-01,"Calgary",525,385,32,108,673,441,90,142,5666,3339,876,1451
2013-01-01,"Edmonton",724,417,182,125,467,304,110,53,6058,3636,1448,974
2013-01-01,"Sudbury",27,27,0,0,7,1,2,4,213,140,36,37
2013-01-01,"Guelph",30,17,2,11,36,18,0,18,363,119,10,234
2013-01-01,"Hamilton",117,64,2,51,122,90,0,32,1486,682,48,756
2013-01-01,"Kelowna",64,41,2,21,54,33,12,9,620,420,70,130
2013-01-01,"Kitchener",78,55,2,21,77,45,0,32,532,226,24,282
2013-01-01,"London",88,86,2,0,62,46,2,14,576,390,12,174
2013-01-01,"Montreal",396,292,50,54,212,138,20,54,2726,1483,456,787
2013-01-01,"Oshawa",102,79,6,17,121,68,26,27,961,631,66,264
2013-01-01,"Ottawa",301,152,46,103,230,63,20,147,2614,1074,288,1252
2013-01-01,"Niagara",59,54,0,5,79,53,2,24,827,441,56,330
2013-01-01,"Toronto",1457,769,180,508,894,510,240,144,14801,8229,2077,4495
2013-01-01,"Vancouver",530,331,34,165,488,323,28,137,5592,3335,444,1813
2013-01-01,"Victoria",99,72,9,18,37,26,8,3,615,382,96,137
2013-01-01,"Windsor",58,47,8,3,13,13,0,0,307,174,32,101
2013-02-01,"Calgary",700,404,90,206,691,486,110,95,5657,3421,896,1340
2013-02-01,"Edmonton",633,410,180,43,735,395,152,188,6154,3619,1416,1119
2013-02-01,"Sudbury",6,6,0,0,0,0,0,0,207,134,36,37
2013-02-01,"Guelph",18,14,0,4,58,18,2,38,373,123,12,238
2013-02-01,"Hamilton",161,87,4,70,101,55,2,44,1425,649,46,730
2013-02-01,"Kelowna",63,51,0,12,49,33,8,8,606,402,78,126
2013-02-01,"Kitchener",52,36,0,16,60,45,4,11,540,235,28,277
2013-02-01,"London",92,86,6,0,57,47,2,8,541,351,8,182
2013-02-01,"Montreal",348,259,46,43,204,148,16,40,2620,1390,422,808
2013-02-01,"Oshawa",94,60,4,30,61,55,0,6,926,626,60,240
2013-02-01,"Ottawa",394,184,26,184,163,91,24,48,2386,984,286,1116
2013-02-01,"Niagara",76,57,4,15,54,37,0,17,805,421,52,332
2013-02-01,"Toronto",1117,682,234,201,842,602,126,114,14514,8147,1971,4396
2013-02-01,"Vancouver",524,307,20,197,579,279,42,258,6073,3732,466,1875
2013-02-01,"Victoria",71,62,9,0,43,39,4,0,587,359,91,137
2013-02-01,"Windsor",42,42,0,0,17,15,2,0,282,147,34,101
2013-03-01,"Calgary",612,432,72,108,762,500,140,122,5807,3489,964,1354
2013-03-01,"Edmonton",567,361,122,84,692,426,184,82,6276,3684,1478,1114
2013-03-01,"Sudbury",30,26,4,0,2,2,0,0,179,110,32,37
2013-03-01,"Guelph",21,15,0,6,7,5,2,0,359,113,14,232
2013-03-01,"Hamilton",99,73,6,20,156,54,2,100,1488,628,42,818
2013-03-01,"Kelowna",45,45,0,0,31,23,4,4,592,380,82,130
2013-03-01,"Kitchener",45,34,6,5,51,49,2,0,546,250,24,272
2013-03-01,"London",38,31,0,7,62,56,0,6,565,376,8,181
2013-03-01,"Montreal",271,181,40,50,294,221,37,36,2591,1454,413,724
2013-03-01,"Oshawa",118,76,6,36,97,79,2,16,905,629,56,220
2013-03-01,"Ottawa",293,147,50,96,172,122,14,36,2264,958,250,1056
2013-03-01,"Niagara",63,47,0,16,44,23,0,21,786,397,52,337
2013-03-01,"Toronto",1333,906,97,330,1057,579,44,434,14236,7818,1918,4500
2013-03-01,"Vancouver",593,310,24,259,394,242,40,112,6371,4156,480,1735
2013-03-01,"Victoria",69,46,4,19,40,33,0,7,557,346,86,125
2013-03-01,"Windsor",42,36,6,0,33,27,2,4,273,138,30,105
2013-04-01,"Calgary",665,433,52,180,904,545,138,221,6046,3601,1050,1395
2013-04-01,"Edmonton",776,513,160,103,833,560,158,115,6333,3731,1476,1126
2013-04-01,"Sudbury",25,19,2,4,8,6,2,0,164,95,32,37
2013-04-01,"Guelph",45,18,0,27,46,10,2,34,360,105,16,239
2013-04-01,"Hamilton",145,73,10,62,151,100,0,51,1492,655,32,805
2013-04-01,"Kelowna",44,42,2,0,64,40,8,16,612,378,88,146
2013-04-01,"Kitchener",94,37,0,57,73,59,0,14,525,272,24,229
2013-04-01,"London",106,88,0,18,126,104,2,20,585,392,10,183
2013-04-01,"Montreal",315,217,38,60,601,362,134,105,2873,1602,503,768
2013-04-01,"Oshawa",99,68,2,29,77,52,4,21,883,613,58,212
2013-04-01,"Ottawa",333,139,60,134,302,151,82,69,2231,970,272,989
2013-04-01,"Niagara",116,86,4,26,92,63,9,20,762,374,57,331
2013-04-01,"Toronto",1331,825,174,332,1518,996,226,296,14420,7986,1970,4464
2013-04-01,"Vancouver",533,346,32,155,602,323,44,235,6437,4130,492,1815
2013-04-01,"Victoria",55,30,5,20,36,29,4,3,538,345,85,108
2013-04-01,"Windsor",16,16,0,0,57,37,0,20,315,160,30,125
2013-05-01,"Calgary",797,535,68,194,755,559,106,90,6022,3625,1088,1309
2013-05-01,"Edmonton",747,454,170,123,944,526,182,236,6509,3803,1488,1218
2013-05-01,"Sudbury",17,17,0,0,22,20,2,0,168,97,34,37
2013-05-01,"Guelph",40,24,2,14,51,15,14,22,371,96,28,247
2013-05-01,"Hamilton",161,112,10,39,277,126,0,151,1607,668,22,917
2013-05-01,"Kelowna",73,45,8,20,57,41,12,4,596,374,92,130
2013-05-01,"Kitchener",83,59,6,18,118,66,2,50,560,279,20,261
2013-05-01,"London",131,100,2,29,196,152,4,40,650,444,12,194
2013-05-01,"Montreal",393,288,52,53,481,366,76,39,2963,1680,529,754
2013-05-01,"Oshawa",131,94,2,35,138,103,16,19,890,622,72,196
2013-05-01,"Ottawa",362,165,62,135,546,247,68,231,2451,1051,278,1122
2013-05-01,"Niagara",79,46,6,27,84,74,10,0,767,402,61,304
2013-05-01,"Toronto",1342,746,164,432,1639,919,192,528,14718,8160,1998,4560
2013-05-01,"Vancouver",623,442,46,135,516,371,46,99,6341,4070,492,1779
2013-05-01,"Victoria",61,49,9,3,50,40,2,8,526,337,76,113
2013-05-01,"Windsor",63,38,8,17,78,57,6,15,330,179,28,123
2013-06-01,"Calgary",870,543,118,209,773,554,140,79,5925,3636,1110,1179
2013-06-01,"Edmonton",862,445,234,183,889,589,180,120,6522,3946,1430,1146
2013-06-01,"Sudbury",22,18,4,0,50,48,2,0,196,127,32,37
2013-06-01,"Guelph",39,23,4,12,57,27,12,18,394,105,36,253
2013-06-01,"Hamilton",164,109,8,47,202,141,14,47,1644,699,28,917
2013-06-01,"Kelowna",49,43,6,0,62,46,2,14,609,377,88,144
2013-06-01,"Kitchener",77,55,2,20,125,80,6,39,608,304,24,280
2013-06-01,"London",71,62,2,7,169,139,2,28,748,521,12,215
2013-06-01,"Montreal",516,354,69,93,432,316,92,24,2878,1641,552,685
2013-06-01,"Oshawa",107,85,2,20,80,74,0,6,861,611,68,182
2013-06-01,"Ottawa",248,116,22,110,443,254,52,137,2743,1189,308,1246
2013-06-01,"Niagara",103,68,4,31,98,55,12,31,762,389,69,304
2013-06-01,"Toronto",1305,825,198,282,1473,955,202,316,14884,8288,2002,4594
2013-06-01,"Vancouver",682,453,36,193,624,344,30,250,6277,3965,480,1832
2013-06-01,"Victoria",67,37,6,24,67,63,4,0,526,363,74,89
2013-06-01,"Windsor",42,31,2,9,70,60,6,4,358,208,32,118
2013-07-01,"Calgary",762,532,136,94,810,572,74,164,5963,3676,1048,1239
2013-07-01,"Edmonton",763,504,172,87,997,542,248,207,6742,3984,1506,1252
