"GEO","Date","Employed_working","Employed_absent","Unemployed","Not_in_LF","16_to_24_years","25_to_34_years","35_to_44_years","45_to_54_years","55_to_64_years","over_65_years","Male","Female","Married","Common_Law","Widowed","Separated","Divorced","Single","Minimal_Educ","Some_High_School","High_School","Some_Postsecondary","Postsecondary","Bachelors","Above_Bachelors","Employee","Self_Employed","Unattached","Couple/Dual/no_kid","Couple/Dual/young_kid","Couple/Dual/old_kid","Couple/Single_earn/no_kid","Couple/Single_earn/young_kid","Couple/Single_earn/old_kid","Couple/Non_earn/no_kid","Couple/Non_earn/young_kid","Couple/Non_earn/old_kid","Lone/Empl/young_kid","Lone/Empl/old_kid","Lone/Unempl/young_kid","Lone/Unempl/old_kid","Other_Fam","YKID_newborn_preK","YKID_schoolage","YKID_Teen","YKID_adult","HRLYEARN"
"Alberta",2014-01-01,0.62645,0.04566,0.03385,0.29404,0.16464,0.19452,0.16565,0.18659,0.14905,0.13955,0.50184,0.49816,0.50747,0.09878,0.03699,0.02204,0.05303,0.28168,0.03616,0.15191,0.24737,0.06862,0.3123,0.13817,0.04547,0.63521,0.11871,0.18723,0.1591,0.19074,0.04556,0.08965,0.09334,0.01835,0.07582,0.00729,0.00157,0.03025,0.01125,0.01098,0.00397,0.07489,0.12728,0.07388,0.05414,0.04363,28.108889623265
"Alberta",2014-02-01,0.63302,0.04666,0.03404,0.28627,0.16336,0.19722,0.16614,0.18599,0.14991,0.13738,0.50111,0.49889,0.5026,0.10148,0.03738,0.02282,0.05288,0.28284,0.03664,0.15186,0.24369,0.06763,0.31605,0.13766,0.04647,0.63942,0.11874,0.19026,0.16308,0.19276,0.04434,0.08636,0.08701,0.01883,0.07449,0.00807,0.00148,0.03182,0.01187,0.01122,0.00417,0.07421,0.12514,0.07468,0.05547,0.04341,27.9086547306176
"Alberta",2014-03-01,0.63937,0.03913,0.03784,0.28365,0.15839,0.19946,0.16921,0.1829,0.15432,0.13572,0.50495,0.49505,0.50615,0.10399,0.03701,0.02341,0.05144,0.27801,0.03617,0.14951,0.24554,0.06402,0.31946,0.136,0.04931,0.63863,0.12027,0.18549,0.16634,0.19512,0.04209,0.08872,0.08724,0.01804,0.07457,0.00833,0.00204,0.03257,0.01286,0.00999,0.00426,0.07235,0.12675,0.07568,0.05505,0.04228,27.9118894918599
"Alberta",2014-04-01,0.61572,0.0576,0.03597,0.29072,0.1521,0.19219,0.1714,0.17954,0.16034,0.14442,0.50567,0.49433,0.5037,0.10415,0.0384,0.02388,0.05526,0.27461,0.03671,0.15107,0.24398,0.06369,0.31835,0.13693,0.04926,0.6337,0.12082,0.19228,0.16072,0.19462,0.04533,0.0916,0.08298,0.01536,0.07783,0.0089,0.00122,0.03231,0.01377,0.01068,0.0029,0.0695,0.12466,0.07614,0.05329,0.04224,28.1400940702167
"Alberta",2014-05-01,0.63967,0.04816,0.03359,0.27858,0.14875,0.19218,0.17279,0.17364,0.16635,0.14629,0.50322,0.49678,0.50511,0.10522,0.03899,0.02394,0.0545,0.27224,0.03728,0.15273,0.23969,0.06094,0.32116,0.13654,0.05167,0.63465,0.1215,0.19143,0.16238,0.19389,0.04646,0.09112,0.0862,0.01429,0.07646,0.00766,0.00142,0.03047,0.01751,0.01069,0.00199,0.06804,0.12263,0.07674,0.05403,0.04381,27.71481309957
"Alberta",2014-06-01,0.6511,0.04755,0.0318,0.26956,0.15597,0.19199,0.16967,0.17201,0.16854,0.14181,0.50403,0.49597,0.49878,0.10083,0.04042,0.02373,0.05506,0.28119,0.03864,0.15288,0.23935,0.05928,0.32339,0.13178,0.05468,0.63665,0.12596,0.19593,0.16338,0.19058,0.04999,0.08798,0.08488,0.01351,0.07119,0.00553,0.00159,0.02964,0.01735,0.01069,0.00169,0.07606,0.11761,0.07213,0.05506,0.04502,27.7064386448371
"Alberta",2014-07-01,0.6054,0.08494,0.03495,0.27472,0.15651,0.19352,0.17146,0.16903,0.16324,0.14623,0.50243,0.49757,0.49822,0.10017,0.04121,0.02261,0.05279,0.28499,0.03971,0.1496,0.24341,0.05793,0.3219,0.12727,0.06018,0.63446,0.12353,0.19884,0.15511,0.1724,0.05214,0.0912,0.09409,0.01701,0.07746,0.00477,0.00252,0.03009,0.01617,0.01261,0.00206,0.07354,0.11577,0.07017,0.05195,0.04775,27.7161013071895
"Alberta",2014-08-01,0.59186,0.09295,0.04134,0.27385,0.15877,0.19456,0.1712,0.16555,0.16244,0.14747,0.50504,0.49496,0.49845,0.09615,0.04313,0.021,0.05283,0.28845,0.03955,0.14804,0.24494,0.05782,0.32122,0.12788,0.06055,0.63311,0.12252,0.20341,0.15557,0.16979,0.04803,0.08796,0.09747,0.01846,0.07694,0.00499,0.00226,0.02919,0.01667,0.01262,0.00433,0.07232,0.11517,0.06818,0.05434,0.04709,27.5574221854305
"Alberta",2014-09-01,0.63525,0.04557,0.02912,0.29006,0.15572,0.19419,0.17273,0.16385,0.16044,0.15307,0.50024,0.49976,0.50383,0.09587,0.04245,0.01881,0.05313,0.2859,0.03914,0.15146,0.24307,0.05474,0.32334,0.12764,0.0606,0.63024,0.11998,0.19864,0.1646,0.18266,0.04567,0.08405,0.08925,0.01863,0.07441,0.00671,0.00199,0.02931,0.01683,0.01144,0.00189,0.07393,0.11913,0.06958,0.05465,0.04349,27.7337925851703
"Alberta",2014-10-01,0.64025,0.04145,0.02973,0.28857,0.15662,0.19647,0.16946,0.16928,0.15605,0.15211,0.50239,0.49761,0.50333,0.09622,0.04164,0.01829,0.05092,0.2896,0.03648,0.15127,0.24759,0.05514,0.32195,0.12783,0.05974,0.626,0.12454,0.19694,0.16159,0.18053,0.04933,0.08637,0.08656,0.01801,0.07653,0.00675,0.00291,0.02945,0.01632,0.01116,0.0015,0.07606,0.11892,0.06921,0.05196,0.04577,27.7553391101483
"Alberta",2014-11-01,0.63344,0.04659,0.02927,0.2907,0.15439,0.19772,0.16883,0.17065,0.15583,0.15257,0.50239,0.49761,0.5043,0.09556,0.04094,0.01923,0.05366,0.2863,0.03434,0.15181,0.24373,0.05653,0.32552,0.12866,0.0594,0.62713,0.12062,0.19677,0.16166,0.1829,0.04745,0.0838,0.08054,0.01875,0.08131,0.00478,0.00297,0.03109,0.0155,0.0111,0.00134,0.08007,0.11986,0.06906,0.0506,0.04438,27.5812112485177
"Alberta",2014-12-01,0.62969,0.04237,0.03405,0.2939,0.15618,0.19243,0.1689,0.17081,0.15675,0.15493,0.50105,0.49895,0.50029,0.09851,0.04084,0.0176,0.05432,0.28845,0.03539,0.15187,0.24646,0.05671,0.32651,0.1251,0.05796,0.62395,0.11993,0.19309,0.15637,0.18009,0.04581,0.08866,0.08655,0.01779,0.08206,0.00631,0.00363,0.0328,0.01492,0.00995,0.00411,0.07785,0.11897,0.07249,0.05136,0.04371,27.9596464733139
"Alberta",2015-01-01,0.61691,0.04792,0.03517,0.3,0.15169,0.19333,0.16821,0.17469,0.15449,0.15758,0.50232,0.49768,0.5057,0.10097,0.04116,0.01884,0.05353,0.27981,0.03797,0.1513,0.24551,0.05729,0.3229,0.12734,0.05768,0.62338,0.11913,0.18899,0.1571,0.1857,0.04222,0.08599,0.08957,0.01932,0.0856,0.00502,0.00367,0.03237,0.01469,0.01014,0.00454,0.07507,0.12126,0.07208,0.05333,0.043,28.3211431079895
"Alberta",2015-02-01,0.60508,0.05918,0.04312,0.29261,0.15156,0.1943,0.17045,0.17415,0.15409,0.15546,0.50423,0.49577,0.50423,0.10094,0.04088,0.02112,0.05364,0.27918,0.04001,0.15098,0.24647,0.0549,0.3223,0.12849,0.05685,0.62932,0.11876,0.18807,0.15682,0.17765,0.04419,0.08274,0.09491,0.02122,0.08196,0.00691,0.00263,0.03534,0.01421,0.01081,0.0037,0.07885,0.12791,0.07388,0.04887,0.04458,28.6233859244815
"Alberta",2015-03-01,0.61784,0.04603,0.04613,0.29,0.14915,0.19928,0.17269,0.17393,0.15496,0.15,0.50329,0.49671,0.51234,0.09787,0.04022,0.02192,0.05203,0.27561,0.04088,0.14638,0.24836,0.05385,0.32069,0.13142,0.05842,0.63728,0.11531,0.18164,0.15124,0.17755,0.04489,0.08596,0.10064,0.0182,0.08263,0.00858,0.00267,0.03507,0.01515,0.01077,0.00381,0.0812,0.13266,0.07624,0.04727,0.04374,28.6588053021174
"Alberta",2015-04-01,0.61611,0.05062,0.04865,0.28462,0.1511,0.19629,0.17637,0.17281,0.15372,0.1497,0.50243,0.49757,0.51226,0.09684,0.04126,0.02227,0.05127,0.2761,0.04454,0.1468,0.24411,0.05324,0.31952,0.13473,0.05707,0.63997,0.11508,0.18292,0.15167,0.19106,0.04519,0.08393,0.096,0.01778,0.07841,0.00889,0.00215,0.03406,0.01441,0.01095,0.00346,0.07915,0.13211,0.07972,0.05006,0.04304,29.1147137083193
"Alberta",2015-05-01,0.62593,0.0486,0.04722,0.27824,0.15024,0.19524,0.17947,0.17274,0.14987,0.15245,0.50152,0.49848,0.51176,0.09656,0.04316,0.02361,0.05192,0.27299,0.04482,0.14452,0.24375,0.04906,0.32629,0.13529,0.05626,0.63838,0.11454,0.18122,0.15088,0.19967,0.04325,0.08144,0.09702,0.01918,0.07738,0.00775,0.00258,0.03772,0.01291,0.01024,0.0036,0.07516,0.13437,0.08097,0.0534,0.04298,29.2980245098039
"Alberta",2015-06-01,0.62632,0.04993,0.04256,0.28119,0.15194,0.19561,0.18189,0.17191,0.1482,0.15044,0.50098,0.49902,0.52039,0.09491,0.04041,0.02221,0.05077,0.2713,0.0419,0.14176,0.2434,0.04872,0.32636,0.14148,0.05637,0.6392,0.11059,0.17667,0.14774,0.19981,0.04676,0.08362,0.09902,0.021,0.07989,0.01036,0.00215,0.03752,0.01344,0.0098,0.00289,0.06934,0.13887,0.08231,0.05245,0.04582,29.3133229661156
"Alberta",2015-07-01,0.59027,0.0846,0.04912,0.27601,0.15418,0.19519,0.18321,0.17086,0.1492,0.14736,0.50143,0.49857,0.51894,0.0928,0.03981,0.02341,0.05096,0.27408,0.04193,0.14349,0.24514,0.04709,0.32403,0.14109,0.05723,0.64031,0.1128,0.17657,0.14616,0.18754,0.04331,0.08958,0.10921,0.02405,0.07907,0.00977,0.00286,0.03677,0.01281,0.00977,0.00286,0.06967,0.13538,0.08349,0.05216,0.04636,29.3847320558623
"Alberta",2015-08-01,0.57212,0.10509,0.04957,0.27321,0.15522,0.19281,0.17653,0.17424,0.15403,0.14717,0.50288,0.49712,0.52355,0.08909,0.04006,0.02213,0.05204,0.27312,0.03787,0.14388,0.24641,0.04829,0.32406,0.1415,0.05799,0.64109,0.11177,0.17461,0.14397,0.19171,0.04619,0.09302,0.11049,0.0193,0.07628,0.00887,0.0021,0.03558,0.01454,0.00988,0.00284,0.07061,0.13308,0.08269,0.05662,0.04555,29.4059929305913
"Alberta",2015-09-01,0.62834,0.04566,0.04357,0.28243,0.15354,0.18883,0.17782,0.17664,0.1549,0.14826,0.50282,0.49718,0.52174,0.09532,0.0412,0.02147,0.05194,0.26833,0.03747,0.14344,0.24077,0.04903,0.33082,0.14008,0.0584,0.63735,0.1147,0.17209,0.15463,0.20984,0.0422,0.08996,0.0936,0.01828,0.07904,0.00609,0.00218,0.03584,0.0141,0.00855,0.00418,0.0694,0.13153,0.08186,0.05703,0.04384,29.5055661290323
"Alberta",2015-10-01,0.61751,0.04209,0.04629,0.2941,0.15121,0.18682,0.17449,0.17376,0.16161,0.15212,0.49918,0.50082,0.52538,0.09286,0.04182,0.02009,0.05122,0.26863,0.03771,0.14363,0.23767,0.05004,0.32999,0.13842,0.06255,0.62454,0.11687,0.17065,0.15376,0.19768,0.03753,0.09222,0.10089,0.01881,0.08583,0.00667,0.00274,0.03543,0.01351,0.00968,0.00329,0.07131,0.12893,0.08391,0.0546,0.04118,29.5449541284404
"Alberta",2015-11-01,0.60717,0.04808,0.05121,0.29354,0.15078,0.18209,0.17767,0.17353,0.16782,0.14811,0.49848,0.50152,0.52381,0.09321,0.0408,0.02183,0.05296,0.26739,0.03574,0.14571,0.23717,0.05425,0.32882,0.13825,0.06005,0.62273,0.11808,0.17519,0.15382,0.19646,0.03905,0.09201,0.098,0.01989,0.0863,0.00783,0.00157,0.03325,0.01317,0.00875,0.00433,0.07037,0.12361,0.08419,0.05526,0.042,29.6276069246436
"Alberta",2015-12-01,0.60637,0.04296,0.05164,0.29903,0.15017,0.18071,0.17557,0.17314,0.16931,0.1511,0.49514,0.50486,0.52297,0.09498,0.04249,0.02279,0.05445,0.26233,0.03941,0.144,0.23702,0.05304,0.32733,0.13896,0.06024,0.61608,0.12271,0.17445,0.15297,0.18902,0.04006,0.09217,0.10273,0.0197,0.08713,0.00943,0.00121,0.03297,0.01363,0.00869,0.00448,0.07135,0.1243,0.08386,0.05267,0.04277,29.5771872803935
"British Columbia",2014-01-01,0.52748,0.04576,0.04939,0.37737,0.13715,0.14752,0.14532,0.17319,0.18343,0.21338,0.49157,0.50843,0.49754,0.10319,0.05445,0.02658,0.06922,0.24903,0.03396,0.13547,0.23088,0.09774,0.32655,0.11719,0.05821,0.5538,0.10436,0.2078,0.13482,0.15893,0.03928,0.091,0.07039,0.01361,0.14363,0.00765,0.00259,0.03539,0.01698,0.0162,0.00506,0.05665,0.098,0.07013,0.05082,0.04148,24.0829754098361
"British Columbia",2014-02-01,0.5309,0.04342,0.04702,0.37866,0.13705,0.14318,0.14198,0.17222,0.1882,0.21737,0.48948,0.51052,0.49867,0.10416,0.05474,0.0277,0.07179,0.24294,0.0341,0.13519,0.22403,0.09576,0.33271,0.11494,0.06327,0.55008,0.10642,0.20525,0.12946,0.16369,0.04835,0.09776,0.06233,0.01172,0.14145,0.01172,0.00293,0.0349,0.01692,0.01465,0.00506,0.05381,0.09976,0.06686,0.05101,0.04595,24.1327259966311
"British Columbia",2014-03-01,0.52208,0.05592,0.04257,0.37943,0.13485,0.14701,0.14291,0.16975,0.18654,0.21893,0.48347,0.51653,0.49709,0.101,0.05539,0.02829,0.07179,0.24643,0.03556,0.13511,0.22951,0.09519,0.32232,0.11766,0.06465,0.54825,0.1055,0.20981,0.12797,0.16631,0.04389,0.09664,0.06465,0.01375,0.14199,0.00925,0.00132,0.03768,0.01679,0.0119,0.00516,0.05288,0.09664,0.06941,0.04984,0.0431,24.2555848115299
"British Columbia",2014-04-01,0.52118,0.0449,0.0429,0.39102,0.13404,0.14446,0.14192,0.16491,0.18589,0.22879,0.48109,0.51891,0.49218,0.1021,0.06014,0.02753,0.07136,0.24669,0.03769,0.13511,0.22879,0.09675,0.32273,0.11466,0.06428,0.5316,0.11025,0.21208,0.12695,0.16411,0.0441,0.09167,0.06388,0.01283,0.14967,0.00695,0.00134,0.03809,0.01457,0.0127,0.00521,0.05586,0.09141,0.06856,0.05132,0.04156,24.125488547405
"British Columbia",2014-05-01,0.53524,0.0424,0.04467,0.37769,0.13508,0.14003,0.14217,0.16517,0.18604,0.23151,0.48161,0.51839,0.49325,0.10378,0.05965,0.02675,0.06727,0.2493,0.03825,0.13401,0.23044,0.09202,0.325,0.11555,0.06473,0.54179,0.10392,0.21345,0.12559,0.16638,0.04962,0.09817,0.05457,0.01485,0.14846,0.00575,0.00227,0.03491,0.01578,0.01444,0.00361,0.05216,0.08546,0.06928,0.05002,0.04601,23.8992550223214
"British Columbia",2014-06-01,0.52282,0.05421,0.03801,0.38496,0.13385,0.13211,0.14028,0.16557,0.19208,0.23611,0.48414,0.51586,0.50154,0.10414,0.05863,0.02905,0.06492,0.24173,0.04069,0.13452,0.23116,0.08807,0.32392,0.11658,0.06505,0.53447,0.11016,0.20774,0.12729,0.16624,0.05086,0.09878,0.05649,0.01419,0.15339,0.00616,0.00428,0.03587,0.01392,0.01231,0.00201,0.05046,0.08218,0.07067,0.05086,0.04604,23.8459235127479
"British Columbia",2014-07-01,0.50101,0.07159,0.04169,0.38571,0.13031,0.13474,0.13594,0.16745,0.19292,0.23864,0.48411,0.51589,0.50382,0.10122,0.0602,0.03016,0.06596,0.23864,0.03928,0.13138,0.23328,0.08781,0.32873,0.11583,0.06368,0.52996,0.11034,0.21169,0.13031,0.15552,0.04625,0.09546,0.06087,0.0185,0.15739,0.00711,0.00335,0.03526,0.01207,0.0122,0.00201,0.05202,0.08285,0.06703,0.05095,0.04424,23.761307208238
"British Columbia",2014-08-01,0.48873,0.08784,0.04086,0.38257,0.12503,0.13834,0.13291,0.17011,0.19237,0.24124,0.48588,0.51412,0.50149,0.101,0.06055,0.02987,0.06476,0.24233,0.03774,0.13332,0.23283,0.08539,0.3303,0.11716,0.06326,0.53136,0.11214,0.21884,0.13644,0.15178,0.04738,0.09449,0.06014,0.0148,0.15612,0.00882,0.00204,0.03217,0.01249,0.01222,0.00163,0.05064,0.08403,0.06761,0.04928,0.04236,24.0935825635104
