"GEO","Date","Employed_working","Employed_absent","Unemployed","Not_in_LF","16_to_24_years","25_to_34_years","35_to_44_years","45_to_54_years","55_to_64_years","over_65_years","Male","Female","Married","Common_Law","Widowed","Separated","Divorced","Single","Minimal_Educ","Some_High_School","High_School","Some_Postsecondary","Postsecondary","Bachelors","Above_Bachelors","Employee","Self_Employed","New_immigrant","Old_immigrant","Non_immigrant","Unattached","Couple/Dual/no_kid","Couple/Dual/young_kid","Couple/Dual/old_kid","Couple/Single_earn/no_kid","Couple/Single_earn/young_kid","Couple/Single_earn/old_kid","Couple/Non_earn/no_kid","Couple/Non_earn/young_kid","Couple/Non_earn/old_kid","Lone/Empl/young_kid","Lone/Empl/old_kid","Lone/Unempl/young_kid","Lone/Unempl/old_kid","Other_Fam","YKID_newborn_preK","YKID_schoolage","YKID_Teen","YKID_adult","HRLYEARN"
"Alberta",2017-01-01,0.58262,0.05197,0.05771,0.30771,0.14964,0.17419,0.1724,0.16864,0.16165,0.17348,0.5095,0.4905,0.53566,0.10394,0.04319,0.02258,0.05394,0.24068,0.05143,0.16882,0.2448,0.06022,0.33978,0.10448,0.03047,0.60699,0.11864,0.04875,0.06703,0.88423,0.17133,0.16057,0.19337,0.03925,0.09695,0.1,0.01613,0.09373,0.01237,0.00269,0.03441,0.01254,0.01165,0.00573,0.04928,0.13513,0.08423,0.05215,0.03943,29.8132289156627
"Alberta",2017-02-01,0.58053,0.0551,0.05774,0.30664,0.15138,0.17497,0.17004,0.16758,0.16265,0.17338,0.50414,0.49586,0.53248,0.10931,0.04154,0.02288,0.0514,0.24239,0.05052,0.16846,0.24503,0.05527,0.34325,0.10667,0.0308,0.60482,0.12392,0.04665,0.06759,0.88576,0.17039,0.15965,0.19838,0.03309,0.1028,0.09717,0.0169,0.09435,0.01039,0.00211,0.03432,0.01408,0.01039,0.00422,0.05175,0.13607,0.08291,0.05193,0.03697,30.0735952380952
"Alberta",2017-03-01,0.58427,0.0525,0.05748,0.30575,0.14842,0.18046,0.17103,0.16836,0.15946,0.17227,0.50507,0.49493,0.53782,0.1139,0.04022,0.02189,0.05054,0.23563,0.05001,0.16782,0.24435,0.05375,0.34864,0.10464,0.03079,0.60295,0.12565,0.04627,0.06994,0.88379,0.16337,0.16444,0.19594,0.0315,0.1002,0.10269,0.02118,0.09503,0.00925,0.00178,0.0372,0.01406,0.0105,0.00356,0.0493,0.14184,0.08293,0.05321,0.03844,30.0073303479159
"Alberta",2017-04-01,0.56957,0.06305,0.05233,0.31506,0.14735,0.17807,0.17307,0.16485,0.16396,0.17271,0.50455,0.49545,0.54153,0.11163,0.04054,0.02072,0.05376,0.23183,0.04787,0.16771,0.2429,0.05233,0.35596,0.10163,0.03161,0.59671,0.12502,0.04412,0.06966,0.88623,0.16271,0.16092,0.18789,0.03572,0.10163,0.10555,0.02036,0.09841,0.01179,0.00089,0.03929,0.01125,0.01,0.00482,0.04876,0.13949,0.08412,0.05305,0.0384,30.0405210142411
"Alberta",2017-05-01,0.60612,0.04635,0.04563,0.3019,0.13958,0.17681,0.17734,0.1616,0.16589,0.17878,0.50107,0.49893,0.54939,0.10594,0.04241,0.02309,0.0544,0.22477,0.04921,0.16571,0.23712,0.05548,0.35755,0.10165,0.03329,0.60183,0.12151,0.04384,0.06782,0.88833,0.1641,0.15587,0.20598,0.0383,0.10183,0.10397,0.01843,0.09431,0.00644,0.00233,0.03848,0.01127,0.00841,0.00322,0.04707,0.14603,0.08822,0.05154,0.03865,29.5790083472454
"Alberta",2017-06-01,0.6109,0.04532,0.04178,0.302,0.14286,0.17932,0.17508,0.16056,0.16428,0.17791,0.50062,0.49938,0.53549,0.1163,0.04302,0.02354,0.05488,0.22677,0.04638,0.16233,0.2404,0.05293,0.36148,0.10356,0.03293,0.59426,0.12569,0.05081,0.06798,0.88122,0.16941,0.151,0.20588,0.03717,0.09736,0.11276,0.01646,0.09701,0.00566,0.00266,0.03576,0.01204,0.00885,0.00549,0.04249,0.14675,0.0917,0.05045,0.03859,29.3601657275439
"Alberta",2017-07-01,0.5596,0.08762,0.04807,0.30472,0.13923,0.18109,0.17205,0.16123,0.16761,0.17879,0.49982,0.50018,0.54416,0.10979,0.04399,0.0227,0.05481,0.22455,0.04399,0.15679,0.23732,0.05286,0.37141,0.10323,0.03441,0.59525,0.1238,0.05569,0.06775,0.87655,0.16619,0.14562,0.18553,0.04328,0.10057,0.12806,0.01472,0.09933,0.0039,0.00302,0.03654,0.01206,0.00922,0.00443,0.04753,0.14083,0.09542,0.04771,0.04079,29.5357960282733
"Alberta",2017-08-01,0.5571,0.08833,0.0542,0.30037,0.13884,0.17702,0.17332,0.16505,0.16734,0.17843,0.50132,0.49868,0.54126,0.10945,0.04223,0.02534,0.05508,0.22664,0.04593,0.15643,0.23667,0.05472,0.37304,0.0996,0.03361,0.59018,0.12353,0.05525,0.06722,0.87753,0.16717,0.14464,0.18212,0.04522,0.09784,0.12898,0.0139,0.10259,0.00651,0.00211,0.03642,0.01073,0.00845,0.00475,0.04857,0.13848,0.09344,0.04927,0.04153,30.0157954545455
"Alberta",2017-09-01,0.5988,0.05135,0.04178,0.30807,0.14412,0.16926,0.17635,0.16838,0.16802,0.17387,0.50195,0.49805,0.54125,0.10517,0.04214,0.02567,0.05648,0.22928,0.04568,0.16183,0.23938,0.05613,0.36933,0.09738,0.03028,0.58906,0.12801,0.04869,0.06427,0.88704,0.16643,0.15598,0.1937,0.04692,0.09366,0.11632,0.01434,0.0949,0.00655,0.00301,0.03523,0.01204,0.00832,0.00283,0.04975,0.13102,0.09561,0.05117,0.04302,30.2238461538462
"Alberta",2017-10-01,0.60702,0.04421,0.04123,0.30754,0.14544,0.16281,0.17649,0.17211,0.16947,0.17368,0.50281,0.49719,0.54105,0.09947,0.04421,0.02702,0.05509,0.23316,0.04421,0.16474,0.23912,0.05702,0.36667,0.09789,0.03035,0.58807,0.13263,0.04877,0.06579,0.88544,0.16719,0.15368,0.20333,0.04474,0.09105,0.10754,0.01509,0.09193,0.00474,0.00421,0.03632,0.01544,0.00754,0.00263,0.05456,0.12719,0.09544,0.05404,0.04456,30.5838231338265
