"GEO","Date","Employed_working","Employed_absent","Unemployed","Not_in_LF","16_to_24_years","25_to_34_years","35_to_44_years","45_to_54_years","55_to_64_years","over_65_years","Male","Female","Married","Common_Law","Widowed","Separated","Divorced","Single","Minimal_Educ","Some_High_School","High_School","Some_Postsecondary","Postsecondary","Bachelors","Above_Bachelors","Employee","Self_Employed","New_immigrant","Old_immigrant","Non_immigrant","Unattached","Couple/Dual/no_kid","Couple/Dual/young_kid","Couple/Dual/old_kid","Couple/Single_earn/no_kid","Couple/Single_earn/young_kid","Couple/Single_earn/old_kid","Couple/Non_earn/no_kid","Couple/Non_earn/young_kid","Couple/Non_earn/old_kid","Lone/Empl/young_kid","Lone/Empl/old_kid","Lone/Unempl/young_kid","Lone/Unempl/old_kid","Other_Fam","YKID_newborn_preK","YKID_schoolage","YKID_Teen","YKID_adult","HRLYEARN"
"Alberta",2020-01-01,0.57783,0.05729,0.04445,0.32043,0.13572,0.16061,0.17859,0.16278,0.17799,0.18431,0.50494,0.49506,0.55788,0.09976,0.0403,0.02351,0.05176,0.22679,0.04129,0.16021,0.23508,0.04445,0.38186,0.09561,0.04149,0.5964,0.1294,0.0561,0.07369,0.87021,0.15192,0.15923,0.20525,0.04208,0.11142,0.0966,0.01166,0.09581,0.00731,0.00375,0.03299,0.00988,0.01126,0.00395,0.05689,0.12841,0.08791,0.0565,0.03773,31.7226831148805
"Alberta",2020-02-01,0.58891,0.05153,0.0447,0.31485,0.12707,0.16592,0.18388,0.15499,0.17451,0.19364,0.50517,0.49483,0.56061,0.1017,0.04451,0.02225,0.04997,0.22096,0.04216,0.15479,0.23638,0.05075,0.38083,0.09487,0.04021,0.59399,0.1302,0.05875,0.07027,0.87097,0.15382,0.16338,0.20437,0.0449,0.10755,0.09291,0.00644,0.10267,0.00468,0.00429,0.03143,0.00859,0.01171,0.00215,0.0611,0.13059,0.08784,0.05368,0.03514,32.0264823930329
"Alberta",2020-03-01,0.52297,0.10211,0.04915,0.32578,0.12638,0.16269,0.18556,0.15426,0.17633,0.19478,0.50391,0.49609,0.5669,0.10291,0.04393,0.02046,0.04654,0.21926,0.03892,0.15366,0.23551,0.05115,0.38475,0.0997,0.03631,0.5988,0.12818,0.05276,0.06981,0.87743,0.15246,0.15707,0.19458,0.04875,0.11535,0.09769,0.00903,0.10752,0.00822,0.00341,0.02869,0.00822,0.01264,0.0012,0.05517,0.12919,0.08746,0.05216,0.03771,32.5661228560032
"Alberta",2020-04-01,0.45718,0.09625,0.07708,0.36949,0.12745,0.15885,0.1823,0.15294,0.17659,0.20188,0.50184,0.49816,0.56831,0.09523,0.04303,0.021,0.04772,0.22471,0.03569,0.15171,0.23695,0.05261,0.38581,0.10053,0.0367,0.58789,0.1301,0.05445,0.06831,0.87724,0.15314,0.12643,0.16905,0.03793,0.12072,0.10828,0.01896,0.1301,0.01794,0.00367,0.03038,0.00795,0.01489,0.00265,0.05791,0.12398,0.08605,0.05241,0.03874,33.7913466097677
"Alberta",2020-05-01,0.49042,0.08054,0.08185,0.34719,0.12625,0.15368,0.17501,0.15433,0.18328,0.20744,0.49826,0.50174,0.56443,0.09229,0.04375,0.02003,0.05181,0.22769,0.03809,0.1515,0.2401,0.05268,0.37658,0.10209,0.03896,0.5838,0.12647,0.05529,0.06966,0.87505,0.15977,0.12973,0.16674,0.037,0.1232,0.10492,0.01545,0.12843,0.01458,0.00218,0.02808,0.00718,0.01502,0.0037,0.064,0.11733,0.08903,0.04789,0.03657,32.7947365877235
"Alberta",2020-06-01,0.51595,0.06958,0.07374,0.34073,0.1172,0.14748,0.17684,0.14956,0.18493,0.22399,0.49861,0.50139,0.56958,0.08784,0.04716,0.02127,0.05224,0.22191,0.04022,0.14748,0.24156,0.05178,0.3791,0.1024,0.03745,0.56889,0.13084,0.0534,0.07212,0.87448,0.16574,0.13615,0.1736,0.03259,0.11766,0.09847,0.01872,0.135,0.0111,0.00069,0.02728,0.00902,0.01063,0.00231,0.06103,0.11697,0.08484,0.04785,0.03444,32.0106156156156
"Alberta",2020-07-01,0.48409,0.0897,0.07517,0.35104,0.1125,0.14157,0.17239,0.14683,0.18391,0.2428,0.49587,0.50413,0.57078,0.08745,0.05086,0.02005,0.05412,0.21674,0.03758,0.14357,0.25332,0.04711,0.37484,0.10649,0.03708,0.55224,0.12779,0.0461,0.07492,0.87898,0.17088,0.12904,0.15585,0.03508,0.12378,0.09572,0.01679,0.14483,0.01453,0.00276,0.02405,0.00977,0.00952,0.002,0.0654,0.11025,0.08269,0.04485,0.03658,31.7975303867403
"Alberta",2020-08-01,0.48558,0.09976,0.07332,0.34135,0.12091,0.1399,0.17043,0.1488,0.18678,0.23317,0.49856,0.50144,0.57476,0.08582,0.04543,0.02115,0.05168,0.22115,0.03558,0.13678,0.25673,0.05024,0.36683,0.11635,0.0375,0.56779,0.1238,0.04543,0.07428,0.88029,0.16418,0.13486,0.16226,0.03894,0.11611,0.10192,0.02091,0.13894,0.01298,0.00216,0.0262,0.01058,0.00745,0.00361,0.05889,0.10986,0.08654,0.04712,0.04159,32.661520287622
"Alberta",2020-09-01,0.5376,0.05735,0.06663,0.33841,0.12208,0.14327,0.16683,0.15255,0.18396,0.23132,0.49929,0.50071,0.5683,0.08853,0.04474,0.02118,0.05331,0.22394,0.0376,0.13636,0.25416,0.05021,0.37054,0.11185,0.03927,0.56973,0.12161,0.0495,0.07972,0.87078,0.16492,0.13874,0.17944,0.04188,0.10733,0.10209,0.01452,0.13422,0.00524,0.005,0.02737,0.01285,0.00476,0.00262,0.05902,0.10876,0.08996,0.05069,0.0426,32.247785467128
"Alberta",2020-10-01,0.52965,0.05741,0.0567,0.35625,0.12426,0.13749,0.15639,0.15734,0.18568,0.23884,0.49941,0.50059,0.56508,0.08953,0.04843,0.02103,0.05103,0.2249,0.03638,0.13985,0.26034,0.05245,0.36617,0.10891,0.03591,0.55871,0.12332,0.05103,0.08434,0.86464,0.16867,0.12946,0.17505,0.04418,0.10843,0.10347,0.01606,0.14198,0.00591,0.00283,0.02599,0.01158,0.00402,0.00189,0.06048,0.10961,0.08292,0.05386,0.04229,32.4673686843422
