"GEO","Date","HPI","Pop","LF","Empl","Unempl","URATE","LF_RATE","ERATE","Compl_total","Compl_single","Compl_semi","Compl_row","Starts_total","Starts_single","Starts_semi","Starts_row","UC_total","UC_single","UC_semi","UC_row","Mort_rate","Credit_rate","InMort_total","InMort_var","InMort_fix0_1","InMort_fix1_over","UnMort_total","UnMort_var","UnMort_fix0_1","UnMort_fix1_over","Inc_med","Age0_17","Age18_64","Age65_over","num_fam","num_cpl","num_lone","num_single","pop_noKid","pop_kid1","pop_wkids","cpl_nokid","cpl_child","cpl_kids","Inc_allcpl","Inc_cpl_nk","Inc_cpl_child","Inc_cpl_kids","under_10k","10k_39k","40k_59k","60k_79k","80k_99k","100k_149k","over_100k","over_150k"
"Alberta",2013-01-01,95.6,3111500,2277300,2173200,104100,0.046,0.732,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0414,0.0575,0.0323,0.0357,0.0514,0.0300333333333333,0.0314,0.0345,0.0458,0.0299333333333333,59032,911337,2442941,431564,1072013,923885,148124,599421,431812,272722,367461,431812,186990,305083,87710,73900,96560,101382,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-02-01,96.1,3117300,2278300,2172300,106000,0.047,0.731,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0411,0.0565,0.0319,0.0352,0.0498,0.0298333333333333,0.0312,0.0347,0.0456,0.0297666666666667,59313,912480,2460502,433799,1077714,930134,147577,605010,435821,273541,368338,435821,187872,306442,88175,74093,97239,102117,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-03-01,96.4,3124100,2279300,2172500,106800,0.047,0.73,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402,0.0562,0.0313,0.0351,0.0489,0.0294333333333333,0.0307,0.0348,0.0445,0.0294333333333333,59585,913691,2476698,435950,1083065,935966,147096,610097,439531,274327,369196,439531,188710,307729,88618,74285,97878,102813,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-04-01,96.9,3131900,2278800,2173300,105500,0.046,0.728,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402,0.0539,0.0311,0.0352,0.0489,0.0294333333333333,0.0303,0.0351,0.044,0.0291666666666667,59848,914967,2491578,438020,1088076,941395,146679,614700,442952,275083,370034,442952,189503,308946,89040,74477,98478,103470,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-05-01,97.2,3140300,2287800,2182800,105000,0.046,0.729,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402,0.0542,0.0309,0.035,0.0478,0.0292333333333333,0.0301,0.0344,0.043,0.0290666666666667,60101,916305,2505189,440014,1092760,946434,146324,618840,446094,275808,370854,446094,190253,310095,89441,74666,99039,104090,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-06-01,97.5,3148400,2297700,2191000,106700,0.046,0.73,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.0525,0.0308,0.0349,0.0475,0.0291,0.03,0.0345,0.044,0.0288666666666667,60345,917700,2517580,441936,1097127,951098,146029,622537,448966,276503,371656,448966,190962,311179,89820,74854,99563,104673,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-07-01,97.8,3155900,2306400,2199000,107500,0.047,0.731,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0408,0.0538,0.0314,0.0331,0.0495,0.0296,0.0307,0.0327,0.0454,0.0298,60580,919150,2528800,443790,1101190,955400,145790,625810,451580,277170,372440,451580,191630,312200,90180,75040,100050,105220,0.042,0.167,0.127,0.12,0.099,0.2,0.445,0.245
"Alberta",2013-08-01,98.2,3163300,2314700,2206000,108800,0.047,0.732,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0414,0.0547,0.0322,0.0313,0.0489,0.0307,0.0312,0.031,0.0446,0.0306333333333333,60805,920650,2538897,445579,1104960,959354,145606,628679,453944,277809,373208,453944,192259,313161,90519,75223,100502,105732,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-09-01,98.3,3171100,2317300,2212900,104500,0.045,0.731,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0433,0.0547,0.0331,0.0303,0.0492,0.0316333333333333,0.0318,0.0299,0.0475,0.0316666666666667,61021,922198,2547920,447308,1108447,962974,145474,631164,456070,278420,373960,456070,192850,314066,90839,75403,100918,106209,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",2013-10-01,98.4,3178300,2321600,2216100,105500,0.045,0.73,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,0.0558,0.0332,0.0295,0.0512,0.0322666666666667,0.0321,0.0293,0.0466,0.0326,61228,923789,2555916,448980,1111665,966274,145392,633284,457966,279005,374698,457966,193405,314915,91139,75580,101301,106653,NA,NA,NA,NA,NA,NA,NA,NA
